Strike,Price,Change,Bid,Ask,Volume,Open Int
240,867.3,0,915.35,917.5,-,472
250,879.4,0,905.35,907.5,-,999
260,843.85,0,895.4,897.55,-,2733
265,872.25,0,890.4,892.55,-,334
270,837.5,0,885.4,887.55,-,173
280,848.85,0,875.45,877.6,-,135
290,831.4,0,865.5,867.6,-,138
300,835.55,0,855.5,857.65,-,156
310,827.8,0,845.55,847.7,-,91
320,813.35,0,835.55,837.7,-,403
330,818.98,25.53,825.6,827.75,51,70
340,809.03,13.31,815.65,817.75,51,305
350,787.68,0,805.65,807.8,-,147
360,765.25,0,795.7,797.85,-,341
370,767.6,0,785.7,787.85,-,565
380,756.1,0,775.4,777.9,-,203
390,735.35,0,765.15,767.95,-,206
400,756.8,25.35,756.65,758,1,429
410,720.55,0,746.7,748.05,-,69
420,715.4,0,736.75,738.1,-,58
430,708.14,0,726.8,728.1,-,149
440,696.48,0,716.8,718.15,-,298
450,678.58,0,706.85,708.2,-,1678
460,668.2,0,696.9,698.25,-,891
470,667.55,0,686.95,688.25,-,212
480,638.91,0,676.95,678.3,-,200
490,630.45,0,667,668.35,-,258
500,650,21,657.05,658.4,1,530
510,619,0,647.1,648.45,-,514
520,609.05,0,637.15,638.5,-,470
530,448.4,0,627.2,628.5,-,130
540,564.75,0,617.25,618.55,-,581
550,574.25,0,607.25,608.6,-,671
560,579.8,0,597.3,598.65,-,118
570,569.9,0,587.35,588.7,-,221
580,578.65,19.7,577.4,578.75,1,154
590,539.77,0,567.45,568.8,-,229
600,558.45,18.6,557.55,558.85,18,956
610,548.1,18.2,547.55,548.9,9,285
620,520.16,0,536.75,538.9,-,344
630,449.22,0,526.9,528.95,-,147
640,517.6,17.6,517.2,519,30,1463
650,460.18,0,506.95,509.05,-,199
660,469.12,0,497,499.1,-,265
670,471.05,0,487.05,489.15,-,145
680,426.18,0,477.1,479.2,-,206
690,417.95,0,467.15,469.3,-,103
700,448.7,15.17,457.3,459.35,5,854
710,420.83,0,447.25,449.4,-,317
720,402.65,0,437.3,439.45,-,501
730,400,0,427.35,429.5,-,388
740,404.16,15.16,417.45,419.55,1,263
750,408.75,17.75,407.55,409.6,5,636
760,388,7.7,397.55,399.7,-,580
770,357.42,0,387.6,389.75,-,420
780,381.5,20.43,377.65,379.8,3,1027
790,350.08,0,367.7,369.85,-,628
800,358,18.55,357.8,359.9,7,2046
810,352.5,21.1,347.6,349.95,2,393
820,340.6,30.84,337.65,340.05,10,715
830,330.7,26,327.7,330.1,10,751
840,315.81,21.01,318,320.15,5,528
850,311.95,19.45,308.4,310.2,15,1844
860,293.61,22,298.15,300.25,10,599
870,275.02,1.32,288.2,290.35,10,613
880,260.6,0,278.25,280.4,-,503
890,269.96,19.86,268.3,270.45,1,316
900,263,22.4,258.7,260.5,30,4748
910,250.15,18.95,248.45,250.6,1,531
920,242.7,19.6,238.85,240.7,12,747
930,224.72,22.7,228.7,230.8,6,494
940,219.67,16.17,218.8,220.9,9,753
950,212.85,21.33,209.2,211,37,2257
960,200.95,17.18,199.35,201.2,50,1650
970,190,17.46,189.55,191.35,29,731
980,180.51,16.01,179.8,181.6,11,1467
990,174.49,20.24,169.75,171.9,8,902
"1,000.00",162,16.21,160.45,162.25,171,4944
"1,010.00",152.03,18.03,150.45,154.9,5,853
"1,020.00",143.61,17.53,141.3,144.55,6,987
"1,030.00",127.16,9.97,131.7,135.1,6,1287
"1,040.00",126.56,18.82,122.7,125.15,49,805
"1,050.00",115,14.72,114.05,117.5,54,1953
"1,060.00",109.87,19.17,105.2,108.4,22,1491
"1,080.00",89.4,12.93,88.4,91.35,103,2099
"1,100.00",73.6,12.1,72.9,74.3,362,8862
"1,120.00",58.85,10.25,59,59.8,489,4161
