Strike,Price,Change,Bid,Ask,Volume,Open Int
240,0.01,0,-,0.03,-,3486
250,0.02,0,-,0.15,-,497
260,0.02,0,-,0.03,-,1271
265,0.02,0,-,0.43,-,360
270,0.02,0,0.01,0.04,-,264
280,0.02,0,-,0.04,-,517
290,0.03,0,-,0.43,-,477
300,0.03,0,-,0.25,-,1015
310,0.04,0,-,0.05,-,113
320,0.02,0,-,0.43,-,204
330,0.03,0,-,0.05,-,278
340,0.05,0,-,0.43,-,222
350,0.06,0,-,0.43,-,946
360,0.05,0,-,0.43,-,728
370,0.05,0,0.01,0.43,-,537
380,0.05,0,0.01,0.43,-,621
390,0.05,0,0.01,0.43,-,611
400,0.04,0,0.01,0.1,-,1972
410,0.03,0,-,0.1,-,820
420,0.03,0,0.01,0.05,-,754
430,0.06,0,0.01,0.44,-,470
440,0.03,0,0.01,0.1,-,1283
450,0.04,0,0.02,0.04,-,2069
460,0.16,0,-,0.1,-,1726
470,0.08,0,-,0.47,-,470
480,0.01,0,-,0.48,-,1202
490,0.03,0,-,0.08,-,615
500,0.07,0.03,0.04,0.07,30,3227
510,0.08,0,-,0.15,-,509
520,0.08,0,0.01,0.25,-,852
530,0.1,0,-,0.2,-,539
540,0.09,0,0.02,0.12,-,998
550,0.05,0,0.04,0.25,-,1302
560,0.09,0,0.02,0.54,-,575
570,0.09,0,0.03,0.54,-,701
580,0.16,0,0.05,0.15,-,666
590,0.1,0,0.01,0.15,-,911
600,0.06,-0.06,0.05,0.11,21,3506
610,0.12,0,0.02,0.57,-,1180
620,0.36,0,0.05,0.57,-,1716
630,0.11,-0.07,0.04,0.58,10,964
640,0.15,-0.02,0.07,0.59,13,1025
650,0.15,-0.1,0.1,0.4,1,2450
660,0.2,0.01,0.05,0.62,10,1495
670,0.2,0,-,0.32,-,939
680,0.23,0,-,0.64,-,1816
690,0.45,0,-,0.66,-,1103
700,0.21,0,0.1,0.67,-,3301
710,0.34,0.17,-,0.5,4,1417
720,0.3,-0.13,0.01,0.42,3,1190
730,0.36,0,0.04,0.59,-,1170
740,0.29,0,0.2,0.42,-,1539
750,0.3,0,0.1,0.74,-,3267
760,0.42,0,0.1,0.52,-,1284
770,0.37,0,0.16,0.51,-,1581
780,0.3,-0.05,0.03,0.52,3,1751
790,0.39,-0.25,0.15,0.54,6,1664
800,0.37,-0.07,0.2,0.47,16,3417
810,0.46,-0.11,0.1,0.76,150,839
820,0.49,0.07,0.25,0.84,77,3765
830,0.48,-0.2,0.05,0.74,240,1121
840,0.53,-0.07,0.02,0.81,4,1310
850,0.54,-0.11,0.12,0.5,76,4737
860,0.58,-0.08,0.1,0.92,4,1430
870,0.57,-0.85,0.04,0.95,20,773
880,0.62,-0.21,0.07,0.9,4,1367
890,0.78,-0.37,0.12,0.93,5,492
900,0.7,-0.22,0.5,1,17,4850
910,0.87,-0.13,0.24,1.03,13,799
920,0.86,-0.14,0.52,1.09,3,674
930,0.91,-0.24,0.51,1.16,1,1147
940,1,-0.28,0.7,1.2,5,821
950,1.01,-0.49,0.57,1.19,41,1759
960,1.2,-0.33,0.88,1.44,1,1616
970,1.35,-0.52,1.21,1.57,4,814
980,1.45,-0.5,1.01,1.58,30,965
990,1.42,-0.86,1.28,1.72,45,570
1000,1.79,-0.91,1.7,1.85,144,3278
1010,1.95,-1.23,1.79,2.13,346,653
1020,2.27,-1.41,2.05,2.41,54,1017
1030,2.68,-1.54,2.46,2.87,113,915
1040,3.13,-1.96,2.89,3.35,317,931
1050,3.5,-2.48,3.4,3.75,124,2147
1060,4.2,-3.2,4.1,4.7,195,973
1080,6.25,-3.92,5.85,6.7,494,1738
1100,8.7,-5.55,8.45,8.8,362,3578
1120,12.6,-7,12.4,12.7,216,3302
