Strike,Price,Change,Bid,Ask,Volume,OpenInt
240,867.3,0,955.1,957.05,-,472
250,959.35,79.95,945.15,947.1,2,999
260,843.85,0,935.15,937.1,-,2733
265,872.25,0,930.2,932.1,-,334
270,837.5,0,925.2,927.15,-,173
280,848.85,0,915.2,917.15,-,135
290,831.4,0,905.25,907.2,-,138
300,835.55,0,895.25,897.2,-,156
310,827.8,0,885.3,887.25,-,91
320,880.8,67.45,875.3,877.25,204,403
330,872.3,53.32,865.35,867.3,204,270
340,856.75,47.72,855.35,857.3,4,105
350,787.68,0,845.4,847.35,-,147
360,844.15,78.9,835.4,837.35,16,341
370,831.8,64.2,825.45,827.4,17,565
380,824.2,68.1,814.55,817.4,8,203
390,812.35,77,804.6,807.45,4,206
400,782.4,0,796.35,797.45,-,427
410,720.55,0,786.4,787.5,-,69
420,779.35,63.95,776.4,777.5,2,58
430,772.15,64.01,766.45,767.55,5,149
440,752.85,56.37,756.5,757.55,1,298
450,678.58,0,746.5,747.6,-,1678
460,668.2,0,736.55,737.65,-,891
470,731.25,63.7,726.55,727.65,2,212
480,638.91,0,716.6,717.7,-,200
490,630.45,0,706.65,707.75,-,258
500,681.88,0,696.65,697.75,-,530
510,691.65,72.65,686.7,687.8,2,514
520,609.05,0,676.75,677.85,-,470
530,448.4,0,666.75,667.85,-,130
540,564.75,0,656.8,657.9,-,581
550,649.2,27.71,646.85,647.95,1,670
560,579.8,0,636.9,637.95,-,118
570,569.9,0,626.9,628,-,221
580,578.65,0,616.95,618.05,-,153
590,539.77,0,607,608.1,-,229
600,605.3,17.05,597.3,598.1,4,991
610,595.35,17.1,587.35,588.15,2,297
620,520.16,0,576,578.2,-,344
630,449.22,0,566.05,568.25,-,147
640,565.45,17.05,557.45,558.3,2,1459
650,460.18,0,546.15,548.35,-,199
660,546.4,77.28,536.2,538.35,2,265
670,471.05,0,526.25,528.4,-,145
680,426.18,0,516.3,518.45,-,206
690,417.95,0,506.35,508.5,-,103
700,500,25.71,496.35,498.55,30,820
710,420.83,0,486.45,488.6,-,317
720,482.3,79.65,476.6,478.65,12,501
730,452.5,0,466.5,468.7,-,389
740,404.16,0,456.55,458.75,-,263
750,408.75,0,446.6,448.8,-,635
760,388,0,436.65,438.85,-,580
770,432.85,13.55,426.7,428.9,1,421
780,420.23,17.35,417.1,418.95,23,1028
790,350.08,0,406.85,409,-,628
800,405.93,23.08,397.35,399.1,38,2038
810,352.5,0,386.9,389.15,-,393
820,383,20.05,376.95,379.2,7,716
830,330.7,0,367.05,369.25,-,741
840,372.69,56.88,357.1,359.3,16,528
850,362.76,24.76,347.25,349.4,21,1814
860,340.24,18.54,337.35,339.45,48,599
870,330.32,13.97,327.9,329.5,34,601
880,301.04,0,317.35,319.55,-,502
890,312.72,22.94,307.4,309.6,10,316
900,304.35,19.44,297.6,299.7,16,4722
910,292.9,19.75,287.65,289.75,20,531
920,288.34,45.64,277.6,279.8,10,751
930,245.42,0,267.65,269.9,-,524
940,274.93,35.08,257.75,259.95,2,745
950,251.49,11.49,248.45,250.05,59,2225
960,242.84,18.89,238.55,240.15,27,1645
970,230.5,15.5,228.65,230.25,7,736
980,222.8,20.55,218.4,220.4,23,1460
990,210.06,8.89,208.3,210.55,7,902
1000,200.5,9.5,198.65,200.75,108,4907
1010,189.29,9.96,190,192.35,1,829
1020,181.47,9.83,178.85,182.7,79,983
1030,171.87,14.41,170.1,173.1,39,1273
1040,163.74,17.55,160.55,163.3,24,787
1050,153.77,15.77,150.85,154.1,111,1923
1060,144.4,15.89,141.05,144.85,22,1476
1080,125.6,9.91,123.4,126.45,87,2050
1100,107.57,9.52,105.5,108.95,1733,7638
1120,90.95,8.65,88.7,92.4,458,3940
240,0.01,0,-,0.02,-,3486
250,0.02,0,-,0.02,-,497
260,0.02,0,-,0.02,-,1271
265,0.02,0,-,0.02,-,360
270,0.02,0,-,0.02,-,264
280,0.02,0,-,0.02,-,517
290,0.03,0,-,0.02,-,477
300,0.03,0,-,0.02,-,1015
310,0.04,0,-,0.02,-,113
320,0.02,0,-,0.02,-,204
330,0.03,0,0.01,0.02,-,278
340,0.05,0,-,0.03,-,222
