Date,Open,High,Low,Close,Change,% Chg,Volume,Day,IV30,% Chg,Volume,% Call,% Put
6-Dec-17,172.5,176.77,171.9,176.06,3.23,1.90%,"20,255,846",175.39,21,-9.10%,"247,370",60.40%,39.60%
5-Dec-17,170.45,175.38,169.01,172.83,1.36,0.80%,"20,184,908",173.18,23.1,-13.90%,"270,290",68.80%,31.20%
4-Dec-17,176.29,176.57,170.79,171.47,-3.63,-2.10%,"24,459,422",172.99,26.9,15.20%,"386,362",76.80%,23.20%
1-Dec-17,176.03,177.48,172.34,175.1,-2.08,-1.20%,"20,182,523",175.41,23.3,7.90%,"262,240",63.80%,36.20%
30-Nov-17,176.85,178.27,175.2,177.18,2.05,1.20%,"25,307,601",176.63,21.6,-7.30%,"255,876",68.50%,31.50%
29-Nov-17,181.89,181.97,174,175.13,-7.29,-4.00%,"41,933,484",176.05,23.3,46.40%,"509,770",70.20%,29.80%
28-Nov-17,183.51,184.25,182.09,182.42,-0.61,-0.30%,"14,379,674",183.17,15.9,5.20%,"160,804",56.60%,43.40%
27-Nov-17,182.56,183.73,181.99,183.03,0.25,0.10%,"12,344,516",182.97,15.1,0.80%,"175,836",59.30%,40.70%
24-Nov-17,180.4,183.15,180.29,182.78,1.91,1.10%,"9,426,283",182.4,15,-5.80%,"179,399",73.20%,26.80%
22-Nov-17,181.3,181.73,180.44,180.87,-0.99,-0.50%,"10,376,329",180.91,15.9,4.00%,"140,144",60.30%,39.70%
21-Nov-17,179.15,181.89,178.99,181.86,3.12,1.70%,"14,503,990",180.96,15.3,-4.80%,"245,118",64.20%,35.80%
20-Nov-17,178.87,179.5,178.1,178.74,-0.26,-0.10%,"10,052,391",178.87,16.1,-6.90%,"156,365",62.60%,37.40%
17-Nov-17,179.3,179.98,178.9,179,-0.59,-0.30%,"13,017,980",179.55,17.3,-1.50%,"196,112",66.80%,33.20%
16-Nov-17,178.76,179.83,178.5,179.59,1.64,0.90%,"15,607,582",179.38,17.5,-7.50%,"182,869",63.20%,36.80%
15-Nov-17,176.66,178.57,176.4,177.95,-0.12,-0.10%,"10,253,667",177.73,19,1.60%,"146,976",57.60%,42.40%
14-Nov-17,178.13,178.97,177.18,178.07,-0.7,-0.40%,"9,585,868",178.13,18.7,2.70%,"249,444",59.80%,40.20%
13-Nov-17,177.5,179.04,177.3,178.77,0.31,0.20%,"9,523,447",178.56,18.2,-4.50%,"124,197",63.10%,36.90%
10-Nov-17,178.35,179.1,177.96,178.46,-0.84,-0.50%,"11,070,189",178.49,19.1,-2.20%,"151,789",59.30%,40.70%
9-Nov-17,178.31,179.4,177.09,179.3,-0.26,-0.10%,"12,610,335",178.17,19.5,2.60%,"185,922",60.70%,39.30%
8-Nov-17,179.79,180.35,179.11,179.56,-0.69,-0.40%,"10,494,149",179.72,19,-1.40%,"116,395",60.40%,39.60%
7-Nov-17,180.5,180.75,178.96,180.25,0.08,0.00%,"12,928,182",179.89,19.3,0.80%,"179,672",59.90%,40.10%
6-Nov-17,178.56,180.45,178.31,180.17,1.25,0.70%,"13,312,741",179.61,19.1,-5.30%,"179,730",59.90%,40.10%
3-Nov-17,179.29,179.86,176.71,178.92,0,0.00%,"17,822,131",178.37,20.2,-6.40%,"333,624",63.80%,36.20%
2-Nov-17,180.63,181.94,177.34,178.92,-3.74,-2.00%,"35,529,893",179.09,21.6,-30.70%,"611,665",66.90%,33.10%
1-Nov-17,182.36,182.9,180.57,182.66,2.6,1.40%,"40,918,341",181.71,31.1,3.70%,"670,343",72.10%,27.90%
31-Oct-17,180.57,180.8,178.94,180.06,0.19,0.10%,"20,174,231",179.84,30,2.30%,"261,991",76.10%,23.90%
30-Oct-17,179.26,180.69,177.61,179.87,1.99,1.10%,"24,353,160",179.46,29.4,6.80%,"366,560",74.60%,25.40%
