ExtractionDate ,ExpiryDate,StockPrice,Strike,Quantity,Underlying,Position,Type,OptionPrice
24-Nov-17,19-Jan-18,1156.16,240,472,AMZN,Long,Call,867.3
24-Nov-17,19-Jan-18,1156.16,250,999,AMZN,Long,Call,879.4
24-Nov-17,19-Jan-18,1156.16,260,2733,AMZN,Long,Call,843.85
24-Nov-17,19-Jan-18,1156.16,265,334,AMZN,Long,Call,872.25
24-Nov-17,19-Jan-18,1156.16,270,173,AMZN,Long,Call,837.5
24-Nov-17,19-Jan-18,1156.16,280,135,AMZN,Long,Call,848.85
24-Nov-17,19-Jan-18,1156.16,290,138,AMZN,Long,Call,831.4
24-Nov-17,19-Jan-18,1156.16,300,156,AMZN,Long,Call,835.55
24-Nov-17,19-Jan-18,1156.16,310,91,AMZN,Long,Call,827.8
24-Nov-17,19-Jan-18,1156.16,320,403,AMZN,Long,Call,813.35
24-Nov-17,19-Jan-18,1156.16,330,70,AMZN,Long,Call,818.98
24-Nov-17,19-Jan-18,1156.16,340,305,AMZN,Long,Call,809.03
24-Nov-17,19-Jan-18,1156.16,350,147,AMZN,Long,Call,787.68
24-Nov-17,19-Jan-18,1156.16,360,341,AMZN,Long,Call,765.25
24-Nov-17,19-Jan-18,1156.16,370,565,AMZN,Long,Call,767.6
24-Nov-17,19-Jan-18,1156.16,380,203,AMZN,Long,Call,756.1
24-Nov-17,19-Jan-18,1156.16,390,206,AMZN,Long,Call,735.35
24-Nov-17,19-Jan-18,1156.16,400,429,AMZN,Long,Call,756.8
24-Nov-17,19-Jan-18,1156.16,410,69,AMZN,Long,Call,720.55
24-Nov-17,19-Jan-18,1156.16,420,58,AMZN,Long,Call,715.4
24-Nov-17,19-Jan-18,1156.16,430,149,AMZN,Long,Call,708.14
24-Nov-17,19-Jan-18,1156.16,440,298,AMZN,Long,Call,696.48
24-Nov-17,19-Jan-18,1156.16,450,1678,AMZN,Long,Call,678.58
24-Nov-17,19-Jan-18,1156.16,460,891,AMZN,Long,Call,668.2
24-Nov-17,19-Jan-18,1156.16,470,212,AMZN,Long,Call,667.55
24-Nov-17,19-Jan-18,1156.16,480,200,AMZN,Long,Call,638.91
24-Nov-17,19-Jan-18,1156.16,490,258,AMZN,Long,Call,630.45
24-Nov-17,19-Jan-18,1156.16,500,530,AMZN,Long,Call,650
24-Nov-17,19-Jan-18,1156.16,510,514,AMZN,Long,Call,619
24-Nov-17,19-Jan-18,1156.16,520,470,AMZN,Long,Call,609.05
24-Nov-17,19-Jan-18,1156.16,530,130,AMZN,Long,Call,448.4
24-Nov-17,19-Jan-18,1156.16,540,581,AMZN,Long,Call,564.75
24-Nov-17,19-Jan-18,1156.16,550,671,AMZN,Long,Call,574.25
24-Nov-17,19-Jan-18,1156.16,560,118,AMZN,Long,Call,579.8
24-Nov-17,19-Jan-18,1156.16,570,221,AMZN,Long,Call,569.9
24-Nov-17,19-Jan-18,1156.16,580,154,AMZN,Long,Call,578.65
24-Nov-17,19-Jan-18,1156.16,590,229,AMZN,Long,Call,539.77
24-Nov-17,19-Jan-18,1156.16,600,956,AMZN,Long,Call,558.45
24-Nov-17,19-Jan-18,1156.16,610,285,AMZN,Long,Call,548.1
24-Nov-17,19-Jan-18,1156.16,620,344,AMZN,Long,Call,520.16
24-Nov-17,19-Jan-18,1156.16,630,147,AMZN,Long,Call,449.22
24-Nov-17,19-Jan-18,1156.16,640,1463,AMZN,Long,Call,517.6
24-Nov-17,19-Jan-18,1156.16,650,199,AMZN,Long,Call,460.18
24-Nov-17,19-Jan-18,1156.16,660,265,AMZN,Long,Call,469.12
24-Nov-17,19-Jan-18,1156.16,670,145,AMZN,Long,Call,471.05
24-Nov-17,19-Jan-18,1156.16,680,206,AMZN,Long,Call,426.18
24-Nov-17,19-Jan-18,1156.16,690,103,AMZN,Long,Call,417.95
24-Nov-17,19-Jan-18,1156.16,700,854,AMZN,Long,Call,448.7
24-Nov-17,19-Jan-18,1156.16,710,317,AMZN,Long,Call,420.83
24-Nov-17,19-Jan-18,1156.16,720,501,AMZN,Long,Call,402.65
24-Nov-17,19-Jan-18,1156.16,730,388,AMZN,Long,Call,400
24-Nov-17,19-Jan-18,1156.16,740,263,AMZN,Long,Call,404.16
24-Nov-17,19-Jan-18,1156.16,750,636,AMZN,Long,Call,408.75
24-Nov-17,19-Jan-18,1156.16,760,580,AMZN,Long,Call,388
24-Nov-17,19-Jan-18,1156.16,770,420,AMZN,Long,Call,357.42
24-Nov-17,19-Jan-18,1156.16,780,1027,AMZN,Long,Call,381.5
24-Nov-17,19-Jan-18,1156.16,790,628,AMZN,Long,Call,350.08
24-Nov-17,19-Jan-18,1156.16,800,2046,AMZN,Long,Call,358
