Expire,Last,Chg,Bid,Ask,Vol,Open Int,Strike,Stock,c/p
"Dec 14, 2018",,,98.6,105.7,0,0,930,1023.88,c
"Dec 14, 2018",,,90.2,96.9,0,0,940,1023.88,c
"Dec 14, 2018",,,81.1,88.4,0,0,950,1023.88,c
"Dec 14, 2018",,,73.1,79.9,0,0,960,1023.88,c
"Dec 14, 2018",,,65.4,72.2,0,0,970,1023.88,c
"Dec 14, 2018",,,59.6,64.7,0,0,980,1023.88,c
"Dec 14, 2018",,,54.3,56.1,0,0,987.5,1023.88,c
"Dec 14, 2018",,,52.7,54.2,0,0,990,1023.88,c
"Dec 14, 2018",,,50.8,52.5,0,0,992.5,1023.88,c
"Dec 14, 2018",,,49.2,50.8,0,0,995,1023.88,c
"Dec 14, 2018",,,47.5,49,0,0,997.5,1023.88,c
"Dec 14, 2018",42.2,,45.9,47.5,0,4,1000,1023.88,c
"Dec 14, 2018",41.38,,44.3,45.9,0,1,1002.5,1023.88,c
"Dec 14, 2018",44.7,,42.4,44.3,0,2,1005,1023.88,c
"Dec 14, 2018",46.4,-0.6,41.3,42.5,20,2,1007.5,1023.88,c
"Dec 14, 2018",35.28,,39.8,41.3,0,9,1010,1023.88,c
"Dec 14, 2018",33.4,,38.2,39.7,0,2,1012.5,1023.88,c
"Dec 14, 2018",38,,36.8,38.1,0,3,1015,1023.88,c
"Dec 14, 2018",36.6,,35.4,36.6,0,2,1017.5,1023.88,c
"Dec 14, 2018",35.6,,34,35.5,0,5,1020,1023.88,c
"Dec 14, 2018",31.6,,32.7,33.9,0,3,1022.5,1023.88,c
"Dec 14, 2018",33.1,,31.2,32.4,0,5,1025,1023.88,c
"Dec 14, 2018",,,30,31.2,0,0,1027.5,1023.88,c
"Dec 14, 2018",31.99,-2.43,28.7,29.8,1,31,1030,1023.88,c
"Dec 14, 2018",31.7,4.7,27.6,28.4,1,3,1032.5,1023.88,c
"Dec 14, 2018",28.31,,26.3,27.2,0,32,1035,1023.88,c
"Dec 14, 2018",39.7,,25.1,26.3,0,1,1037.5,1023.88,c
"Dec 14, 2018",25.5,-9.4,24,25,2,5,1040,1023.88,c
"Dec 14, 2018",23,,22.9,23.9,0,2,1042.5,1023.88,c
"Dec 14, 2018",26.78,,21.8,22.9,0,9,1045,1023.88,c
"Dec 14, 2018",30.8,,20.7,21.8,0,10,1047.5,1023.88,c
"Dec 14, 2018",20.66,,19.7,20.9,0,5,1050,1023.88,c
"Dec 14, 2018",29.51,,18.8,19.6,0,4,1052.5,1023.88,c
"Dec 14, 2018",38.5,,17.8,18.7,0,6,1055,1023.88,c
"Dec 14, 2018",20.3,-6.2,16.9,17.9,1,4,1057.5,1023.88,c
"Dec 14, 2018",20,,16,17.3,0,6,1060,1023.88,c
"Dec 14, 2018",24.1,,15.3,16.2,0,5,1062.5,1023.88,c
"Dec 14, 2018",19.14,,14.5,15.2,0,12,1065,1023.88,c
"Dec 14, 2018",12.17,,13.6,14.5,0,8,1067.5,1023.88,c
"Dec 14, 2018",21.1,,13,13.7,0,8,1070,1023.88,c
"Dec 14, 2018",19.6,,12.3,13,0,5,1072.5,1023.88,c
"Dec 14, 2018",16,,11.5,12.3,0,3,1075,1023.88,c
"Dec 14, 2018",18.1,,10.9,11.7,0,2,1077.5,1023.88,c
"Dec 14, 2018",13.3,-4,10.3,10.9,3,19,1080,1023.88,c
"Dec 14, 2018",16.19,,9.7,10.4,0,3,1082.5,1023.88,c
"Dec 14, 2018",15.84,,9.1,10,0,4,1085,1023.88,c
"Dec 14, 2018",,,7.7,10.3,0,0,1087.5,1023.88,c
"Dec 14, 2018",15.6,,8.1,8.8,0,27,1090,1023.88,c
"Dec 14, 2018",9.9,-17.13,7.6,8.3,1,11,1092.5,1023.88,c
"Dec 14, 2018",9.4,-3.44,7.2,7.8,3,5,1095,1023.88,c
"Dec 14, 2018",12,,6.8,7.4,0,8,1097.5,1023.88,c
"Dec 14, 2018",6.5,-4.25,6.5,7,22,58,1100,1023.88,c
"Dec 14, 2018",7.8,-2.7,6,6.6,2,1,1102.5,1023.88,c
"Dec 14, 2018",7,-3.46,5.6,6.2,5,4,1105,1023.88,c
"Dec 14, 2018",6.9,-2.9,5.2,5.8,1,3,1107.5,1023.88,c
"Dec 14, 2018",5.68,-3.72,4.9,5.5,8,21,1110,1023.88,c
"Dec 14, 2018",13.3,,4.4,5.3,0,2,1112.5,1023.88,c
"Dec 14, 2018",5.3,,4.3,4.8,3,0,1115,1023.88,c
"Dec 14, 2018",5.7,,2.95,4.6,0,11,1117.5,1023.88,c
"Dec 14, 2018",4.6,-0.9,3.8,4.3,1,31,1120,1023.88,c
"Dec 14, 2018",4.3,-1.3,3.3,3.8,1,5,1125,1023.88,c
"Dec 14, 2018",5.2,,6.2,6.7,0,10,930,1023.88,p
"Dec 14, 2018",8.23,,7.3,8.2,0,7,940,1023.88,p
"Dec 14, 2018",8.36,-10.64,8.5,9.8,3,23,950,1023.88,p
"Dec 14, 2018",11.08,,10.4,11.6,0,45,960,1023.88,p
"Dec 14, 2018",11.35,,12.7,13.6,0,26,970,1023.88,p
"Dec 14, 2018",12.76,,15.1,15.8,0,13,980,1023.88,p
"Dec 14, 2018",,,17.1,18.1,0,0,987.5,1023.88,p
"Dec 14, 2018",20.9,,17.7,19,0,10,990,1023.88,p
"Dec 14, 2018",,,18.6,19.7,0,0,992.5,1023.88,p
"Dec 14, 2018",16.5,,19.6,20.3,0,12,995,1023.88,p
"Dec 14, 2018",,,20,21.2,0,0,997.5,1023.88,p
"Dec 14, 2018",21,5.3,21.2,22,1,61,1000,1023.88,p
"Dec 14, 2018",18.96,,21.8,23.1,0,19,1002.5,1023.88,p
"Dec 14, 2018",16.57,,22.7,23.8,0,9,1005,1023.88,p
"Dec 14, 2018",21.5,,23.7,24.8,0,1,1007.5,1023.88,p
"Dec 14, 2018",19.93,,25,25.7,0,61,1010,1023.88,p
"Dec 14, 2018",21.93,,25.8,26.8,0,9,1012.5,1023.88,p
"Dec 14, 2018",19.42,,27,27.8,0,19,1015,1023.88,p
"Dec 14, 2018",23.2,,27.8,28.8,0,5,1017.5,1023.88,p
"Dec 14, 2018",24.1,,28.9,29.9,0,53,1020,1023.88,p
"Dec 14, 2018",26.3,,29.8,31.2,0,1,1022.5,1023.88,p
"Dec 14, 2018",35.9,,30.9,32.3,0,31,1025,1023.88,p
"Dec 14, 2018",36.74,,32.1,33.5,0,2,1027.5,1023.88,p
"Dec 14, 2018",29,3.69,33.6,34.7,1,12,1030,1023.88,p
"Dec 14, 2018",,,34.5,36,0,0,1032.5,1023.88,p
"Dec 14, 2018",32,,36,37.2,0,12,1035,1023.88,p
"Dec 14, 2018",28.5,,37.4,38.5,0,1,1037.5,1023.88,p
"Dec 14, 2018",32.14,,38.7,39.9,0,5,1040,1023.88,p
"Dec 14, 2018",33.31,,40,41.4,0,4,1042.5,1023.88,p
"Dec 14, 2018",45.42,,41.2,42.8,0,16,1045,1023.88,p
"Dec 14, 2018",32.8,,43.1,44.2,0,2,1047.5,1023.88,p
"Dec 14, 2018",43.3,8.9,44.5,45.6,1,21,1050,1023.88,p
"Dec 14, 2018",40.2,,45.9,47.4,0,2,1052.5,1023.88,p
"Dec 14, 2018",36.5,,47.5,48.9,0,42,1055,1023.88,p
"Dec 14, 2018",33.8,,48.8,50.4,0,4,1057.5,1023.88,p
"Dec 14, 2018",39.1,,51.1,52.1,0,21,1060,1023.88,p
