"Date","Price","Open","High","Low","Change %"
"Sep 30, 2018","0.7313","0.7314","0.7317","0.7311","-0.07%"
"Sep 28, 2018","0.7318","0.7309","0.7321","0.7306","0.11%"
"Sep 27, 2018","0.7310","0.7324","0.7331","0.7308","-0.18%"
"Sep 26, 2018","0.7323","0.7321","0.7342","0.7317","0.03%"
"Sep 25, 2018","0.7321","0.7321","0.7328","0.7315","0.00%"
"Sep 24, 2018","0.7321","0.7329","0.7333","0.7312","-0.07%"
"Sep 23, 2018","0.7326","0.7327","0.7329","0.7323","-0.05%"
"Sep 21, 2018","0.7330","0.7329","0.7347","0.7320","0.03%"
"Sep 20, 2018","0.7328","0.7304","0.7331","0.7300","0.31%"
"Sep 19, 2018","0.7305","0.7296","0.7309","0.7288","0.14%"
"Sep 18, 2018","0.7295","0.7289","0.7306","0.7269","0.10%"
"Sep 17, 2018","0.7288","0.7278","0.7298","0.7269","0.18%"
"Sep 16, 2018","0.7275","0.7279","0.7280","0.7275","-0.03%"
"Sep 14, 2018","0.7277","0.7297","0.7313","0.7274","-0.29%"
"Sep 13, 2018","0.7298","0.7288","0.7312","0.7282","0.12%"
"Sep 12, 2018","0.7289","0.7272","0.7292","0.7258","0.26%"
"Sep 11, 2018","0.7270","0.7254","0.7276","0.7242","0.23%"
"Sep 10, 2018","0.7253","0.7253","0.7257","0.7237","-0.01%"
"Sep 09, 2018","0.7254","0.7253","0.7256","0.7252","0.02%"
"Sep 07, 2018","0.7252","0.7276","0.7278","0.7248","-0.33%"
"Sep 06, 2018","0.7276","0.7272","0.7279","0.7253","0.11%"
"Sep 05, 2018","0.7268","0.7270","0.7276","0.7240","0.01%"
"Sep 04, 2018","0.7267","0.7292","0.7292","0.7255","-0.32%"
"Sep 03, 2018","0.7290","0.7288","0.7304","0.7282","0.06%"
"Sep 02, 2018","0.7286","0.7288","0.7292","0.7284","-0.03%"
"Aug 31, 2018","0.7288","0.7311","0.7319","0.7284","-0.33%"
"Aug 30, 2018","0.7312","0.7329","0.7331","0.7307","-0.23%"
"Aug 29, 2018","0.7329","0.7330","0.7338","0.7310","-0.03%"
"Aug 28, 2018","0.7331","0.7341","0.7351","0.7329","-0.12%"
"Aug 27, 2018","0.7340","0.7327","0.7343","0.7315","0.14%"
"Aug 26, 2018","0.7329","0.7323","0.7330","0.7322","0.10%"
"Aug 24, 2018","0.7322","0.7278","0.7329","0.7276","0.60%"
"Aug 23, 2018","0.7278","0.7319","0.7320","0.7274","-0.55%"
"Aug 22, 2018","0.7318","0.7321","0.7327","0.7310","-0.04%"
"Aug 21, 2018","0.7321","0.7302","0.7329","0.7301","0.23%"
"Aug 20, 2018","0.7304","0.7291","0.7305","0.7284","0.14%"
"Aug 19, 2018","0.7294","0.7290","0.7296","0.7289","-0.01%"
"Aug 17, 2018","0.7295","0.7271","0.7296","0.7265","0.37%"
"Aug 16, 2018","0.7268","0.7245","0.7281","0.7242","0.30%"
"Aug 15, 2018","0.7246","0.7258","0.7260","0.7236","-0.15%"
"Aug 14, 2018","0.7257","0.7268","0.7289","0.7249","-0.17%"
"Aug 13, 2018","0.7269","0.7284","0.7291","0.7259","-0.14%"
"Aug 12, 2018","0.7279","0.7281","0.7285","0.7277","-0.03%"
"Aug 10, 2018","0.7281","0.7309","0.7320","0.7276","-0.41%"
"Aug 09, 2018","0.7311","0.7339","0.7344","0.7308","-0.38%"
"Aug 08, 2018","0.7339","0.7330","0.7341","0.7320","0.14%"
"Aug 07, 2018","0.7329","0.7310","0.7336","0.7300","0.27%"
"Aug 06, 2018","0.7309","0.7318","0.7327","0.7302","-0.11%"
"Aug 05, 2018","0.7317","0.7318","0.7320","0.7314","-0.01%"
"Aug 03, 2018","0.7318","0.7307","0.7330","0.7292","0.16%"
"Aug 02, 2018","0.7306","0.7343","0.7345","0.7301","-0.50%"
"Aug 01, 2018","0.7343","0.7343","0.7349","0.7337","-0.03%"
"Jul 31, 2018","0.7345","0.7348","0.7354","0.7336","-0.01%"
"Jul 30, 2018","0.7346","0.7343","0.7352","0.7333","0.02%"
"Jul 29, 2018","0.7344","0.7343","0.7346","0.7341","0.03%"
"Jul 27, 2018","0.7342","0.7335","0.7352","0.7327","0.12%"
"Jul 26, 2018","0.7333","0.7361","0.7370","0.7329","-0.38%"
"Jul 25, 2018","0.7361","0.7331","0.7362","0.7322","0.41%"
"Jul 24, 2018","0.7331","0.7326","0.7342","0.7308","0.08%"
"Jul 23, 2018","0.7325","0.7339","0.7357","0.7317","-0.30%"
"Jul 22, 2018","0.7347","0.7340","0.7349","0.7338","0.11%"
"Jul 20, 2018","0.7339","0.7295","0.7345","0.7278","0.60%"
"Jul 19, 2018","0.7295","0.7325","0.7330","0.7275","-0.41%"
"Jul 18, 2018","0.7325","0.7329","0.7333","0.7300","-0.03%"
"Jul 17, 2018","0.7327","0.7345","0.7360","0.7322","-0.19%"
"Jul 16, 2018","0.7341","0.7325","0.7349","0.7319","0.26%"
"Jul 15, 2018","0.7322","0.7324","0.7326","0.7321","0.00%"
"Jul 13, 2018","0.7322","0.7336","0.7345","0.7304","-0.19%"
"Jul 12, 2018","0.7336","0.7330","0.7350","0.7325","0.08%"
"Jul 11, 2018","0.7330","0.7369","0.7370","0.7329","-0.52%"
"Jul 10, 2018","0.7368","0.7371","0.7392","0.7360","-0.03%"
"Jul 09, 2018","0.7370","0.7361","0.7392","0.7359","0.01%"
"Jul 08, 2018","0.7369","0.7364","0.7369","0.7361","0.01%"
"Jul 06, 2018","0.7368","0.7328","0.7369","0.7319","0.55%"
"Jul 05, 2018","0.7328","0.7323","0.7339","0.7311","0.01%"
"Jul 04, 2018","0.7327","0.7327","0.7349","0.7320","0.00%"
"Jul 03, 2018","0.7327","0.7304","0.7330","0.7275","0.31%"
"Jul 02, 2018","0.7304","0.7338","0.7340","0.7290","-0.46%"
"Jul 01, 2018","0.7338","0.7337","0.7340","0.7335","0.00%"
