Expiry Date,Strike,Open Interest,Underlying,Call/Put,Bid,Ask
14/12/18,930,0,1023.88,C,98.6,105.7
14/12/18,940,0,1023.88,C,90.2,96.9
14/12/18,950,0,1023.88,C,81.1,88.4
14/12/18,960,0,1023.88,C,73.1,79.9
14/12/18,970,0,1023.88,C,65.4,72.2
14/12/18,980,0,1023.88,C,59.6,64.7
14/12/18,987.5,0,1023.88,C,54.3,56.1
14/12/18,990,0,1023.88,C,52.7,54.2
14/12/18,992.5,0,1023.88,C,50.8,52.5
14/12/18,995,0,1023.88,C,49.2,50.8
14/12/18,997.5,0,1023.88,C,47.5,49
14/12/18,1000,4,1023.88,C,45.9,47.5
14/12/18,1002.5,1,1023.88,C,44.3,45.9
14/12/18,1005,2,1023.88,C,42.4,44.3
14/12/18,1007.5,2,1023.88,C,41.3,42.5
14/12/18,1010,9,1023.88,C,39.8,41.3
14/12/18,1012.5,2,1023.88,C,38.2,39.7
14/12/18,1015,3,1023.88,C,36.8,38.1
14/12/18,1017.5,2,1023.88,C,35.4,36.6
14/12/18,1020,5,1023.88,C,34,35.5
14/12/18,1022.5,3,1023.88,C,32.7,33.9
14/12/18,1025,5,1023.88,C,31.2,32.4
14/12/18,1027.5,0,1023.88,C,30,31.2
14/12/18,1030,31,1023.88,C,28.7,29.8
14/12/18,1032.5,3,1023.88,C,27.6,28.4
14/12/18,1035,32,1023.88,C,26.3,27.2
14/12/18,1037.5,1,1023.88,C,25.1,26.3
14/12/18,1040,5,1023.88,C,24,25
14/12/18,1042.5,2,1023.88,C,22.9,23.9
14/12/18,1045,9,1023.88,C,21.8,22.9
14/12/18,1047.5,10,1023.88,C,20.7,21.8
14/12/18,1050,5,1023.88,C,19.7,20.9
14/12/18,1052.5,4,1023.88,C,18.8,19.6
14/12/18,1055,6,1023.88,C,17.8,18.7
14/12/18,1057.5,4,1023.88,C,16.9,17.9
14/12/18,1060,6,1023.88,C,16,17.3
14/12/18,1062.5,5,1023.88,C,15.3,16.2
14/12/18,1065,12,1023.88,C,14.5,15.2
14/12/18,1067.5,8,1023.88,C,13.6,14.5
14/12/18,1070,8,1023.88,C,13,13.7
14/12/18,1072.5,5,1023.88,C,12.3,13
14/12/18,1075,3,1023.88,C,11.5,12.3
14/12/18,1077.5,2,1023.88,C,10.9,11.7
14/12/18,1080,19,1023.88,C,10.3,10.9
14/12/18,1082.5,3,1023.88,C,9.7,10.4
14/12/18,1085,4,1023.88,C,9.1,10
14/12/18,1087.5,0,1023.88,C,7.7,10.3
14/12/18,1090,27,1023.88,C,8.1,8.8
14/12/18,1092.5,11,1023.88,C,7.6,8.3
14/12/18,1095,5,1023.88,C,7.2,7.8
14/12/18,1097.5,8,1023.88,C,6.8,7.4
14/12/18,1100,58,1023.88,C,6.5,7
14/12/18,1102.5,1,1023.88,C,6,6.6
14/12/18,1105,4,1023.88,C,5.6,6.2
14/12/18,1107.5,3,1023.88,C,5.2,5.8
14/12/18,1110,21,1023.88,C,4.9,5.5
14/12/18,1112.5,2,1023.88,C,4.4,5.3
14/12/18,1115,0,1023.88,C,4.3,4.8
14/12/18,1117.5,11,1023.88,C,2.95,4.6
14/12/18,1120,31,1023.88,C,3.8,4.3
14/12/18,1125,5,1023.88,C,3.3,3.8
14/12/18,930,10,1023.88,P,6.2,6.7
14/12/18,940,7,1023.88,P,7.3,8.2
14/12/18,950,23,1023.88,P,8.5,9.8
14/12/18,960,45,1023.88,P,10.4,11.6
14/12/18,970,26,1023.88,P,12.7,13.6
14/12/18,980,13,1023.88,P,15.1,15.8
14/12/18,987.5,0,1023.88,P,17.1,18.1
14/12/18,990,10,1023.88,P,17.7,19
14/12/18,992.5,0,1023.88,P,18.6,19.7
14/12/18,995,12,1023.88,P,19.6,20.3
14/12/18,997.5,0,1023.88,P,20,21.2
14/12/18,1000,61,1023.88,P,21.2,22
14/12/18,1002.5,19,1023.88,P,21.8,23.1
14/12/18,1005,9,1023.88,P,22.7,23.8
14/12/18,1007.5,1,1023.88,P,23.7,24.8
14/12/18,1010,61,1023.88,P,25,25.7
14/12/18,1012.5,9,1023.88,P,25.8,26.8
14/12/18,1015,19,1023.88,P,27,27.8
14/12/18,1017.5,5,1023.88,P,27.8,28.8
14/12/18,1020,53,1023.88,P,28.9,29.9
14/12/18,1022.5,1,1023.88,P,29.8,31.2
14/12/18,1025,31,1023.88,P,30.9,32.3
14/12/18,1027.5,2,1023.88,P,32.1,33.5
14/12/18,1030,12,1023.88,P,33.6,34.7
14/12/18,1032.5,0,1023.88,P,34.5,36
14/12/18,1035,12,1023.88,P,36,37.2
14/12/18,1037.5,1,1023.88,P,37.4,38.5
14/12/18,1040,5,1023.88,P,38.7,39.9
14/12/18,1042.5,4,1023.88,P,40,41.4
14/12/18,1045,16,1023.88,P,41.2,42.8
14/12/18,1047.5,2,1023.88,P,43.1,44.2
14/12/18,1050,21,1023.88,P,44.5,45.6
14/12/18,1052.5,2,1023.88,P,45.9,47.4
14/12/18,1055,42,1023.88,P,47.5,48.9
14/12/18,1057.5,4,1023.88,P,48.8,50.4
14/12/18,1060,21,1023.88,P,51.1,52.1
14/12/18,1062.5,5,1023.88,P,51.4,54.2
14/12/18,1065,24,1023.88,P,53.5,55.9
14/12/18,1067.5,2,1023.88,P,52.4,60.4
14/12/18,1070,7,1023.88,P,54.2,60.7
14/12/18,1072.5,1,1023.88,P,56,63.3
14/12/18,1075,9,1023.88,P,57.8,65.3
14/12/18,1077.5,10,1023.88,P,59.6,66.9
14/12/18,1080,13,1023.88,P,61.5,68.9
14/12/18,1082.5,3,1023.88,P,63.5,71.2
14/12/18,1085,3,1023.88,P,65.4,73.4
14/12/18,1087.5,0,1023.88,P,67.2,75.3
14/12/18,1090,18,1023.88,P,69.4,77.2
14/12/18,1092.5,0,1023.88,P,71.4,79.2
14/12/18,1095,0,1023.88,P,73.5,81.3
14/12/18,1097.5,1,1023.88,P,78.5,80.2
14/12/18,1100,20,1023.88,P,77.8,85.4
14/12/18,1102.5,0,1023.88,P,79.9,87.5
14/12/18,1105,0,1023.88,P,81.7,89.6
14/12/18,1107.5,0,1023.88,P,84.1,91.8
14/12/18,1110,15,1023.88,P,86.2,93.6
14/12/18,1112.5,0,1023.88,P,88.5,96.2
14/12/18,1115,2,1023.88,P,90.6,98.1
14/12/18,1117.5,0,1023.88,P,92.9,100.6
