"Date","Price","Open","High","Low","Change %"
"Sep 30, 2018","5.0251","5.0210","5.0278","5.0205","-0.03%"
"Sep 28, 2018","5.0264","5.0355","5.0389","5.0213","-0.20%"
"Sep 27, 2018","5.0367","5.0377","5.0475","5.0287","-0.01%"
"Sep 26, 2018","5.0370","5.0263","5.0500","5.0239","0.20%"
"Sep 25, 2018","5.0269","5.0216","5.0391","5.0172","0.13%"
"Sep 24, 2018","5.0204","5.0248","5.0285","5.0142","0.16%"
"Sep 23, 2018","5.0121","5.0141","5.0175","5.0121","-0.28%"
"Sep 21, 2018","5.0263","5.0183","5.0278","5.0086","0.18%"
"Sep 20, 2018","5.0175","5.0018","5.0193","4.9989","0.30%"
"Sep 19, 2018","5.0023","5.0056","5.0110","4.9950","-0.06%"
"Sep 18, 2018","5.0053","4.9976","5.0169","4.9845","0.15%"
"Sep 17, 2018","4.9977","5.0000","5.0085","4.9955","0.05%"
"Sep 16, 2018","4.9953","4.9973","5.0000","4.9953","-0.06%"
"Sep 14, 2018","4.9985","4.9930","5.0108","4.9901","0.07%"
"Sep 13, 2018","4.9950","5.0011","5.0088","4.9860","-0.11%"
"Sep 12, 2018","5.0004","4.9984","5.0027","4.9867","0.07%"
"Sep 11, 2018","4.9967","4.9736","4.9989","4.9664","0.49%"
"Sep 10, 2018","4.9723","4.9632","4.9788","4.9589","0.22%"
"Sep 09, 2018","4.9612","4.9660","4.9672","4.9608","-0.05%"
"Sep 07, 2018","4.9634","4.9718","4.9779","4.9597","-0.21%"
"Sep 06, 2018","4.9737","4.9665","4.9764","4.9615","0.19%"
"Sep 05, 2018","4.9643","4.9768","4.9805","4.9544","-0.18%"
"Sep 04, 2018","4.9734","4.9744","4.9782","4.9566","-0.01%"
"Sep 03, 2018","4.9741","4.9796","4.9930","4.9723","-0.14%"
"Sep 02, 2018","4.9812","4.9831","4.9847","4.9790","0.06%"
"Aug 31, 2018","4.9783","5.0035","5.0078","4.9754","-0.54%"
"Aug 30, 2018","5.0051","4.9993","5.0097","4.9950","0.12%"
"Aug 29, 2018","4.9989","4.9874","4.9998","4.9839","0.23%"
"Aug 28, 2018","4.9876","5.0035","5.0061","4.9869","-0.30%"
"Aug 27, 2018","5.0028","4.9850","5.0046","4.9817","0.50%"
"Aug 26, 2018","4.9779","4.9873","4.9874","4.9766","-0.14%"
"Aug 24, 2018","4.9847","5.0068","5.0255","4.9839","-0.41%"
"Aug 23, 2018","5.0051","5.0079","5.0221","4.9951","-0.03%"
"Aug 22, 2018","5.0064","5.0118","5.0151","5.0016","-0.14%"
"Aug 21, 2018","5.0132","5.0077","5.0183","4.9961","0.09%"
"Aug 20, 2018","5.0089","5.0144","5.0179","4.9954","-0.20%"
"Aug 19, 2018","5.0188","5.0153","5.0194","5.0143","0.04%"
"Aug 17, 2018","5.0166","5.0044","5.0174","4.9960","0.29%"
"Aug 16, 2018","5.0022","5.0252","5.0328","4.9978","-0.45%"
"Aug 15, 2018","5.0247","4.9951","5.0286","4.9912","0.57%"
"Aug 14, 2018","4.9962","5.0087","5.0169","4.9908","-0.26%"
"Aug 13, 2018","5.0092","4.9883","5.0115","4.9768","0.36%"
"Aug 12, 2018","4.9913","5.0019","5.0019","4.9865","0.12%"
"Aug 10, 2018","4.9855","4.9859","5.0058","4.9816","-0.03%"
"Aug 09, 2018","4.9870","5.0164","5.0167","4.9844","-0.60%"
"Aug 08, 2018","5.0172","5.0060","5.0183","4.9859","0.21%"
"Aug 07, 2018","5.0069","5.0103","5.0161","4.9981","-0.05%"
"Aug 06, 2018","5.0095","5.0006","5.0134","4.9784","0.18%"
"Aug 05, 2018","5.0005","4.9963","5.0013","4.9947","0.00%"
"Aug 03, 2018","5.0003","4.9975","5.0297","4.9942","0.02%"
"Aug 02, 2018","4.9993","5.0080","5.0133","4.9927","-0.22%"
"Aug 01, 2018","5.0103","5.0016","5.0186","4.9893","0.13%"
"Jul 31, 2018","5.0038","5.0111","5.0301","5.0034","-0.04%"
"Jul 30, 2018","5.0058","5.0045","5.0230","5.0015","0.06%"
"Jul 29, 2018","5.0027","5.0028","5.0042","5.0011","-0.01%"
"Jul 27, 2018","5.0031","4.9810","5.0179","4.9751","0.43%"
"Jul 26, 2018","4.9815","4.9856","4.9943","4.9652","-0.04%"
"Jul 25, 2018","4.9834","4.9819","4.9901","4.9579","0.08%"
"Jul 24, 2018","4.9793","4.9763","4.9962","4.9683","0.07%"
"Jul 23, 2018","4.9757","4.9664","4.9817","4.9566","0.22%"
"Jul 22, 2018","4.9648","4.9669","4.9686","4.9639","-0.10%"
"Jul 20, 2018","4.9696","4.9420","4.9726","4.9357","0.55%"
"Jul 19, 2018","4.9422","4.9233","4.9544","4.9178","0.41%"
"Jul 18, 2018","4.9219","4.9143","4.9280","4.9028","0.16%"
"Jul 17, 2018","4.9138","4.9142","4.9242","4.9035","0.03%"
"Jul 16, 2018","4.9122","4.9031","4.9163","4.8996","0.21%"
"Jul 15, 2018","4.9019","4.8986","4.9033","4.8966","0.04%"
"Jul 13, 2018","4.9000","4.8888","4.9025","4.8830","0.18%"
"Jul 12, 2018","4.8911","4.8973","4.9175","4.8889","-0.13%"
"Jul 11, 2018","4.8975","4.8894","4.9152","4.8739","0.25%"
"Jul 10, 2018","4.8852","4.8742","4.8934","4.8709","0.18%"
"Jul 09, 2018","4.8766","4.8906","4.8971","4.8734","-0.33%"
"Jul 08, 2018","4.8927","4.8942","4.8951","4.8886","-0.04%"
"Jul 06, 2018","4.8945","4.8639","4.8959","4.8622","0.64%"
"Jul 05, 2018","4.8632","4.8567","4.8716","4.8523","0.08%"
"Jul 04, 2018","4.8591","4.8652","4.8720","4.8495","-0.16%"
"Jul 03, 2018","4.8670","4.8707","4.8966","4.8590","-0.06%"
"Jul 02, 2018","4.8700","4.8583","4.8763","4.8530","0.18%"
"Jul 01, 2018","4.8611","4.8594","4.8667","4.8569","0.06%"
