Expiry Date,Strike Price,Open Interest,Underlying,Call/Put,Bid,Ask
14-Dec-18,960,0,1061.66,c,106.5,114.8
14-Dec-18,970,0,1061.66,c,97.8,105.8
14-Dec-18,980,0,1061.66,c,89.2,97.7
14-Dec-18,990,0,1061.66,c,80.8,88.5
14-Dec-18,1000,0,1061.66,c,74.6,77.5
14-Dec-18,1002.5,0,1061.66,c,70.5,78.4
14-Dec-18,1005,0,1061.66,c,68.8,77.2
14-Dec-18,1007.5,0,1061.66,c,66.6,74.4
14-Dec-18,1010,1,1061.66,c,64.8,72.5
14-Dec-18,1012.5,0,1061.66,c,62.6,70.7
14-Dec-18,1015,0,1061.66,c,61,69.2
14-Dec-18,1017.5,0,1061.66,c,58.7,67
14-Dec-18,1020,1,1061.66,c,59.6,62.5
14-Dec-18,1022.5,0,1061.66,c,57.8,60.7
14-Dec-18,1025,4,1061.66,c,56.4,58.5
14-Dec-18,1027.5,0,1061.66,c,54.4,57.1
14-Dec-18,1030,30,1061.66,c,52.5,55.4
14-Dec-18,1032.5,0,1061.66,c,50.9,53.5
14-Dec-18,1035,29,1061.66,c,49.7,51.4
14-Dec-18,1037.5,1,1061.66,c,47.7,50.1
14-Dec-18,1040,4,1061.66,c,46.4,48.7
14-Dec-18,1042.5,0,1061.66,c,44.6,46.5
14-Dec-18,1045,9,1061.66,c,42.9,45.2
14-Dec-18,1047.5,8,1061.66,c,41.6,43.3
14-Dec-18,1050,5,1061.66,c,40.2,41.9
14-Dec-18,1052.5,3,1061.66,c,38.6,40.5
14-Dec-18,1055,1,1061.66,c,37.1,39
14-Dec-18,1057.5,1,1061.66,c,35.6,37.8
14-Dec-18,1060,5,1061.66,c,34.3,36.1
14-Dec-18,1062.5,6,1061.66,c,33,34.7
14-Dec-18,1065,2,1061.66,c,31.6,33.4
14-Dec-18,1067.5,1,1061.66,c,30.4,32.4
14-Dec-18,1070,4,1061.66,c,29.1,30.8
14-Dec-18,1072.5,3,1061.66,c,27.7,29.6
14-Dec-18,1075,2,1061.66,c,26.4,28.6
14-Dec-18,1077.5,2,1061.66,c,25.1,27.6
14-Dec-18,1080,3,1061.66,c,24.3,26.1
14-Dec-18,1082.5,1,1061.66,c,23.1,25.1
14-Dec-18,1085,3,1061.66,c,22,24
14-Dec-18,1087.5,0,1061.66,c,21.2,22.7
14-Dec-18,1090,27,1061.66,c,20,21.8
14-Dec-18,1092.5,11,1061.66,c,19.2,20.7
14-Dec-18,1095,2,1061.66,c,18.2,19.9
14-Dec-18,1097.5,7,1061.66,c,17.2,19
14-Dec-18,1100,38,1061.66,c,16.5,18
14-Dec-18,1102.5,0,1061.66,c,15.5,17.3
14-Dec-18,1105,0,1061.66,c,14.6,16.7
14-Dec-18,1107.5,2,1061.66,c,14.1,15.5
14-Dec-18,1110,20,1061.66,c,13.3,14.9
14-Dec-18,1112.5,2,1061.66,c,12.6,14
14-Dec-18,1115,0,1061.66,c,12,13.3
14-Dec-18,1117.5,10,1061.66,c,11.2,12.7
14-Dec-18,1120,22,1061.66,c,10.7,11.8
14-Dec-18,1125,5,1061.66,c,9.3,10.9
14-Dec-18,1130,9,1061.66,c,8.3,9.8
14-Dec-18,1135,5,1061.66,c,7.4,8.5
14-Dec-18,1140,5,1061.66,c,6.4,7.8
14-Dec-18,1145,0,1061.66,c,5.4,6.9
14-Dec-18,1150,3,1061.66,c,4.7,6.3
14-Dec-18,1155,1,1061.66,c,4.1,5.5
14-Dec-18,1160,8,1061.66,c,3.4,4.8
14-Dec-18,1165,51,1061.66,c,3,4.3
14-Dec-18,960,45,1061.66,p,5.9,7.1
14-Dec-18,970,9,1061.66,p,7.1,8.4
14-Dec-18,980,7,1061.66,p,8.5,9.7
14-Dec-18,990,6,1061.66,p,10,11.4
14-Dec-18,1000,35,1061.66,p,12,13.2
14-Dec-18,1002.5,0,1061.66,p,12.6,13.9
14-Dec-18,1005,6,1061.66,p,13.1,14.2
14-Dec-18,1007.5,0,1061.66,p,13.4,15
14-Dec-18,1010,49,1061.66,p,14.2,15.5
14-Dec-18,1012.5,1,1061.66,p,14.8,16.2
14-Dec-18,1015,16,1061.66,p,15.3,16.7
14-Dec-18,1017.5,1,1061.66,p,15.9,17.5
14-Dec-18,1020,6,1061.66,p,16.4,18.2
14-Dec-18,1022.5,1,1061.66,p,17.5,18.8
14-Dec-18,1025,28,1061.66,p,17.7,19.7
14-Dec-18,1027.5,0,1061.66,p,18.6,20.4
14-Dec-18,1030,15,1061.66,p,19.3,21.2
14-Dec-18,1032.5,0,1061.66,p,20.3,21.9
14-Dec-18,1035,9,1061.66,p,20.7,22.8
14-Dec-18,1037.5,0,1061.66,p,22,23.6
14-Dec-18,1040,5,1061.66,p,22.2,24.7
14-Dec-18,1042.5,0,1061.66,p,23.6,25.4
14-Dec-18,1045,13,1061.66,p,24.5,26.1
14-Dec-18,1047.5,1,1061.66,p,25.4,27.3
14-Dec-18,1050,22,1061.66,p,26.5,28.2
14-Dec-18,1052.5,1,1061.66,p,26.9,29.5
14-Dec-18,1055,40,1061.66,p,28.6,30.3
14-Dec-18,1057.5,3,1061.66,p,29.2,31.5
14-Dec-18,1060,19,1061.66,p,30.5,32.5
14-Dec-18,1062.5,4,1061.66,p,31.6,33.4
14-Dec-18,1065,22,1061.66,p,33.1,34.7
14-Dec-18,1067.5,2,1061.66,p,33.8,36.2
14-Dec-18,1070,7,1061.66,p,35.3,37.3
14-Dec-18,1072.5,1,1061.66,p,36.3,38.5
14-Dec-18,1075,4,1061.66,p,37.5,39.9
14-Dec-18,1077.5,11,1061.66,p,39.2,41.1
14-Dec-18,1080,13,1061.66,p,40.3,42.5
14-Dec-18,1082.5,3,1061.66,p,41.5,44.2
14-Dec-18,1085,3,1061.66,p,43.1,45.3
14-Dec-18,1087.5,0,1061.66,p,44.3,47.3
14-Dec-18,1090,18,1061.66,p,46,48.4
14-Dec-18,1092.5,0,1061.66,p,47.9,49.8
14-Dec-18,1095,0,1061.66,p,48.6,51.6
14-Dec-18,1097.5,1,1061.66,p,50.8,52.9
14-Dec-18,1100,18,1061.66,p,52.5,54.6
14-Dec-18,1102.5,0,1061.66,p,53.7,56.8
14-Dec-18,1105,0,1061.66,p,55.4,58.5
14-Dec-18,1107.5,0,1061.66,p,54.7,61.4
14-Dec-18,1110,11,1061.66,p,56.4,64.2
14-Dec-18,1112.5,0,1061.66,p,57.8,64.9
14-Dec-18,1115,2,1061.66,p,59.6,67.9
14-Dec-18,1117.5,0,1061.66,p,61.7,69.6
14-Dec-18,1120,9,1061.66,p,62.8,71.1
14-Dec-18,1125,2,1061.66,p,66.9,75.3
14-Dec-18,1130,2,1061.66,p,70.5,79.1
14-Dec-18,1135,0,1061.66,p,74.8,83.2
14-Dec-18,1140,0,1061.66,p,78.6,87.2
14-Dec-18,1145,0,1061.66,p,82.8,91.1
14-Dec-18,1150,0,1061.66,p,87.1,95.7
14-Dec-18,1155,0,1061.66,p,91.8,100.4
14-Dec-18,1160,0,1061.66,p,96.1,104.7
14-Dec-18,1165,1,1061.66,p,100.5,109.1
