Date,Open,High,Low,Close,Change,Chg,Volume,VWAP,IV30,Chg2,Volume,Call,Put
12/13/2018,141.72,143.63,139.58,141.14,+1.05_,0.70%,"5,122,765",141.22,34.2,-3.40%,"17,102",60.10%,39.90%
12/12/2018,141.37,144.03,139.55,140.09,+3.30_,2.40%,"6,794,296",141.88,35.4,-4.00%,"27,622",64.90%,35.10%
12/11/2018,140.52,140.7,135.59,136.79,-0.48_,-0.30%,"4,548,737",138.01,36.9,-1.60%,"17,642",65.60%,34.40%
12/10/2018,135.43,139.49,133.18,137.27,+1.32_,1.00%,"5,896,950",136.38,37.5,-1.70%,"19,428",64.70%,35.30%
12/7/2018,141.9,142.37,134.74,135.95,-6.11_,-4.30%,"6,225,324",137.48,38.1,8.10%,"33,559",53.70%,46.30%
12/6/2018,134.01,142.06,132.75,142.06,+2.82_,2.00%,"9,186,581",138.7,35.3,0.10%,"42,292",45.20%,54.80%
12/4/2018,142.5,145.2,138.8,139.24,-4.91_,-3.40%,"6,978,357",141.82,35.2,15.00%,"35,731",59.10%,40.90%
12/3/2018,146.99,147.07,142.56,144.15,+1.39_,1.00%,"7,358,308",144.21,30.6,-5.50%,"45,822",69.10%,30.90%
11/30/2018,138.89,143.22,138.28,142.76,+3.04_,2.20%,"9,110,239",141.76,32.4,-0.60%,"63,944",71.40%,28.60%
11/29/2018,139.85,142.88,139.27,139.72,-0.92_,-0.70%,"7,762,951",140.85,32.6,0.20%,"59,473",54.60%,45.40%
11/28/2018,138.48,140.89,131.97,140.64,+13.10_,10.30%,"25,705,402",136.16,32.5,-26.00%,"163,853",54.90%,45.10%
11/27/2018,125.15,127.61,123.72,127.54,+1.13_,0.90%,"10,558,761",126.36,43.9,-1.30%,"113,507",53.40%,46.60%
11/26/2018,124.48,126.95,123.66,126.41,+4.38_,3.60%,"9,321,154",125.42,44.5,-6.20%,"39,279",48.50%,51.50%
11/23/2018,121.33,123.71,120.71,122.03,-1.56_,-1.30%,"3,009,553",122.57,47.4,2.00%,"13,349",58.60%,41.40%
11/21/2018,124.2,125.75,121.61,123.59,+2.92_,2.40%,"7,311,254",123.7,46.5,-16.60%,"51,627",37.80%,62.20%
11/20/2018,114.33,124.94,113.6,120.67,-0.34_,-0.30%,"13,829,467",120.05,55.8,2.00%,"45,140",48.90%,51.10%
11/19/2018,131.6,132.26,120.42,121.01,-11.54_,-8.70%,"14,284,689",123.96,54.7,21.90%,"64,027",63.20%,36.80%
11/16/2018,131.85,133.47,130.08,132.55,+0.06_,0.00%,"5,126,893",132.22,44.9,-2.30%,"22,440",52.30%,47.70%
11/15/2018,129.2,132.95,126.3,132.49,+3.14_,2.40%,"6,468,655",130.13,45.9,-5.10%,"26,737",59.20%,40.80%
11/14/2018,134.21,134.94,128.58,129.35,-2.81_,-2.10%,"5,729,582",130.68,48.4,7.50%,"26,013",53.00%,47.00%
11/13/2018,131.48,133.77,128.95,132.16,+1.66_,1.30%,"6,176,340",131.72,45,0.60%,"29,217",63.80%,36.20%
11/12/2018,135.74,136.66,130.08,130.5,-6.42_,-4.70%,"7,571,238",131.89,44.7,11.80%,"35,443",64.60%,35.40%
11/9/2018,141.06,141.06,135.05,136.92,-4.95_,-3.50%,"5,252,479",137.24,40,8.30%,"36,603",64.60%,35.40%
11/8/2018,143.22,143.63,140.68,141.87,+0.08_,0.10%,"3,986,674",142.02,36.9,-3.40%,"21,497",71.80%,28.20%
11/7/2018,136.85,142.31,136.43,141.79,+7.84_,5.90%,"5,803,989",140.91,38.2,-9.40%,"36,516",62.50%,37.50%
11/6/2018,135.4,138,132.98,133.95,-1.49_,-1.10%,"4,667,107",134.64,42.2,-1.00%,"17,416",67.10%,32.90%
11/5/2018,137.34,137.34,133.46,135.44,-1.35_,-1.00%,"4,629,865",135.1,42.6,-8.00%,"14,990",62.80%,37.20%
11/2/2018,140.14,140.55,136.1,136.79,-2.80_,-2.00%,"4,481,562",137.89,46.3,8.40%,"18,490",68.80%,31.20%
11/1/2018,138.4,139.8,136.41,139.59,+2.35_,1.70%,"4,668,793",138.47,42.7,-1.70%,"17,679",58.70%,41.30%
10/31/2018,134.92,138.71,134.77,137.24,+5.07_,3.80%,"6,666,385",137.1,43.4,-6.50%,"26,098",74.10%,25.90%
10/30/2018,130.44,132.99,128.03,132.17,+1.18_,0.90%,"10,037,948",130.69,46.5,0.40%,"26,237",63.70%,36.30%
10/29/2018,138.1,139.55,128.53,130.99,-4.53_,-3.30%,"9,212,497",133.54,46.3,7.80%,"27,701",45.70%,54.30%
10/26/2018,135.75,139.21,132.61,135.52,-5.28_,-3.70%,"7,457,049",135.73,42.9,19.50%,"39,666",55.30%,44.70%
10/25/2018,133.69,141.69,133.67,140.8,+7.54_,5.70%,"7,792,908",139.34,35.9,-5.70%,"34,672",51.50%,48.50%
10/24/2018,141.23,141.5,133,133.26,-7.40_,-5.30%,"7,251,491",136.64,38.1,10.60%,"31,442",58.80%,41.20%
10/23/2018,139.32,141.97,137.78,140.66,-2.29_,-1.60%,"6,461,980",140.16,34.4,8.80%,"32,719",57.40%,42.60%
10/22/2018,141.7,143.8,139.2,142.95,+2.46_,1.80%,"4,234,925",141.77,31.7,-5.90%,"17,354",57.80%,42.20%
10/19/2018,143.61,145.37,140.38,140.49,-2.35_,-1.60%,"5,141,616",142.25,33.6,5.30%,"36,523",47.70%,52.30%
10/18/2018,146.09,147.59,141.43,142.84,-4.17_,-2.80%,"5,338,244",143.33,31.9,14.60%,"35,992",66.20%,33.80%
10/17/2018,148.35,148.35,145.42,147.01,-0.43_,-0.30%,"3,377,854",146.66,27.9,-1.30%,"15,251",58.40%,41.60%
10/16/2018,145.47,147.91,144.01,147.44,+5.49_,3.90%,"5,383,148",146.02,28.2,-13.80%,"28,458",49.80%,50.20%
10/15/2018,146.7,146.7,141.32,141.95,-4.79_,-3.30%,"6,040,808",143.16,32.8,1.90%,"20,289",58.50%,41.50%
