Expiry Date,Strike,Open Int,Underlying,Call/Put,Bid ,Ask
"Dec 14, 2018",930,0,GOOG,Call,98.6,105.7
"Dec 14, 2018",940,0,GOOG,Call,90.2,96.9
"Dec 14, 2018",950,0,GOOG,Call,81.1,88.4
"Dec 14, 2018",960,0,GOOG,Call,73.1,79.9
"Dec 14, 2018",970,0,GOOG,Call,65.4,72.2
"Dec 14, 2018",980,0,GOOG,Call,59.6,64.7
"Dec 14, 2018",987.5,0,GOOG,Call,54.3,56.1
"Dec 14, 2018",990,0,GOOG,Call,52.7,54.2
"Dec 14, 2018",992.5,0,GOOG,Call,50.8,52.5
"Dec 14, 2018",995,0,GOOG,Call,49.2,50.8
"Dec 14, 2018",997.5,0,GOOG,Call,47.5,49
"Dec 14, 2018",1000,4,GOOG,Call,45.9,47.5
"Dec 14, 2018",1002.5,1,GOOG,Call,44.3,45.9
"Dec 14, 2018",1005,2,GOOG,Call,42.4,44.3
"Dec 14, 2018",1007.5,2,GOOG,Call,41.3,42.5
"Dec 14, 2018",1010,9,GOOG,Call,39.8,41.3
"Dec 14, 2018",1012.5,2,GOOG,Call,38.2,39.7
"Dec 14, 2018",1015,3,GOOG,Call,36.8,38.1
"Dec 14, 2018",1017.5,2,GOOG,Call,35.4,36.6
"Dec 14, 2018",1020,5,GOOG,Call,34,35.5
"Dec 14, 2018",1022.5,3,GOOG,Call,32.7,33.9
"Dec 14, 2018",1025,5,GOOG,Call,31.2,32.4
"Dec 14, 2018",1027.5,0,GOOG,Call,30,31.2
"Dec 14, 2018",1030,31,GOOG,Call,28.7,29.8
"Dec 14, 2018",1032.5,3,GOOG,Call,27.6,28.4
"Dec 14, 2018",1035,32,GOOG,Call,26.3,27.2
"Dec 14, 2018",1037.5,1,GOOG,Call,25.1,26.3
"Dec 14, 2018",1040,5,GOOG,Call,24,25
"Dec 14, 2018",1042.5,2,GOOG,Call,22.9,23.9
"Dec 14, 2018",1045,9,GOOG,Call,21.8,22.9
"Dec 14, 2018",1047.5,10,GOOG,Call,20.7,21.8
"Dec 14, 2018",1050,5,GOOG,Call,19.7,20.9
"Dec 14, 2018",1052.5,4,GOOG,Call,18.8,19.6
"Dec 14, 2018",1055,6,GOOG,Call,17.8,18.7
"Dec 14, 2018",1057.5,4,GOOG,Call,16.9,17.9
"Dec 14, 2018",1060,6,GOOG,Call,16,17.3
"Dec 14, 2018",1062.5,5,GOOG,Call,15.3,16.2
"Dec 14, 2018",1065,12,GOOG,Call,14.5,15.2
"Dec 14, 2018",1067.5,8,GOOG,Call,13.6,14.5
"Dec 14, 2018",1070,8,GOOG,Call,13,13.7
"Dec 14, 2018",1072.5,5,GOOG,Call,12.3,13
"Dec 14, 2018",1075,3,GOOG,Call,11.5,12.3
"Dec 14, 2018",1077.5,2,GOOG,Call,10.9,11.7
"Dec 14, 2018",1080,19,GOOG,Call,10.3,10.9
