DATE,VXGSCLS
2018-10-01,23.29
2018-10-02,23.63
2018-10-03,23.93
2018-10-04,25.69
2018-10-05,25.51
2018-10-08,25.59
2018-10-09,26.12
2018-10-10,31.48
2018-10-11,34.23
2018-10-12,30.6
2018-10-15,29.01
2018-10-16,23.88
2018-10-17,23.42
2018-10-18,25.76
2018-10-19,28.3
2018-10-22,26.57
2018-10-23,28.16
2018-10-24,36.99
2018-10-25,30.53
2018-10-26,33.66
2018-10-29,33.89
2018-10-30,31.62
2018-10-31,29.23
2018-11-01,27.61
2018-11-02,28.06
2018-11-05,28.52
2018-11-06,26.92
2018-11-07,23.15
2018-11-08,23.63
2018-11-09,25.94
2018-11-12,34.16
2018-11-13,32.06
2018-11-14,34.23
2018-11-15,31.71
2018-11-16,30.14
2018-11-19,31.7
2018-11-20,35.56
2018-11-21,32.13
2018-11-22,.
2018-11-23,33.32
2018-11-26,31.51
2018-11-27,30.67
2018-11-28,29.02
2018-11-29,29.68
2018-11-30,30.0
2018-12-03,27.69
2018-12-04,33.6
2018-12-05,.
2018-12-06,35.12
2018-12-07,36.83
2018-12-10,38.15
2018-12-11,37.29
2018-12-12,36.19
2018-12-13,35.8
2018-12-14,37.48
2018-12-17,40.93
2018-12-18,40.63
2018-12-19,39.99
2018-12-20,45.26
2018-12-21,52.5
2018-12-24,52.19
2018-12-25,.
2018-12-26,44.98
2018-12-27,47.9
2018-12-28,48.28
2018-12-31,40.59
2019-01-01,.
2019-01-02,37.77
2019-01-03,40.26
2019-01-04,36.6
2019-01-07,36.65
2019-01-08,35.53
2019-01-09,34.86
2019-01-10,33.9
2019-01-11,33.27
2019-01-14,31.59
2019-01-15,31.56
2019-01-16,28.44
2019-01-17,27.85
2019-01-18,26.13
2019-01-21,.
2019-01-22,28.9
2019-01-23,27.99
2019-01-24,27.53
2019-01-25,25.41
2019-01-28,26.0
2019-01-29,26.82
2019-01-30,25.97
2019-01-31,25.91
2019-02-01,24.85
2019-02-04,24.14
2019-02-05,23.69
2019-02-06,23.81
2019-02-07,26.06
2019-02-08,26.39
2019-02-11,25.53
2019-02-12,25.51
2019-02-13,25.35
2019-02-14,26.53
2019-02-15,25.45
2019-02-18,.
2019-02-19,25.9
2019-02-20,25.73
2019-02-21,25.56
2019-02-22,25.58
2019-02-25,25.53
2019-02-26,25.87
2019-02-27,25.74
2019-02-28,26.28
2019-03-01,26.09
2019-03-04,27.27
2019-03-05,26.33
2019-03-06,26.92
2019-03-07,28.52
2019-03-08,28.96
2019-03-11,24.22
2019-03-12,26.89
2019-03-13,25.79
2019-03-14,25.88
2019-03-15,25.13
2019-03-18,24.82
2019-03-19,25.64
2019-03-20,28.08
2019-03-21,27.75
2019-03-22,30.66
2019-03-25,30.43
2019-03-26,28.9
2019-03-27,29.37
2019-03-28,28.38
2019-03-29,26.91
2019-04-01,26.81
2019-04-02,26.59
2019-04-03,26.78
2019-04-04,27.19
2019-04-05,26.62
2019-04-08,27.05
2019-04-09,28.26
2019-04-10,28.82
2019-04-11,28.84
2019-04-12,28.68
2019-04-15,23.77
2019-04-16,21.02
2019-04-17,21.12
2019-04-18,20.58
2019-04-19,.
2019-04-22,21.1
2019-04-23,21.01
2019-04-24,22.06
2019-04-25,23.09
2019-04-26,22.08
2019-04-29,22.75
2019-04-30,21.61
2019-05-01,23.11
2019-05-02,23.85
2019-05-03,23.04
2019-05-06,25.09
2019-05-07,29.02
2019-05-08,28.56
2019-05-09,28.57
2019-05-10,25.75
2019-05-13,30.82
2019-05-14,26.44
2019-05-15,25.35
2019-05-16,24.59
2019-05-17,24.95
2019-05-20,25.92
2019-05-21,23.28
2019-05-22,24.57
2019-05-23,28.0
2019-05-24,26.12
2019-05-27,.
2019-05-28,27.72
2019-05-29,28.45
2019-05-30,28.16
2019-05-31,30.4
2019-06-03,30.29
2019-06-04,28.1
2019-06-05,28.53
2019-06-06,27.57
2019-06-07,27.22
2019-06-10,28.12
2019-06-11,27.92
2019-06-12,29.0
2019-06-13,28.3
2019-06-14,27.76
2019-06-17,28.76
2019-06-18,28.11
2019-06-19,27.52
2019-06-20,26.94
2019-06-21,27.45
2019-06-24,27.57
2019-06-25,29.34
2019-06-26,28.29
2019-06-27,28.15
2019-06-28,29.71
2019-07-01,25.06
2019-07-02,23.73
2019-07-03,23.96
2019-07-04,.
2019-07-05,24.66
2019-07-08,25.78
2019-07-09,25.69
2019-07-10,25.75
2019-07-11,25.6
2019-07-12,25.82
2019-07-15,26.21
2019-07-16,22.48
2019-07-17,22.05
2019-07-18,21.67
2019-07-19,21.47
2019-07-22,20.81
2019-07-23,20.46
2019-07-24,20.41
2019-07-25,20.92
2019-07-26,20.29
2019-07-29,21.13
2019-07-30,21.78
2019-07-31,22.02
2019-08-01,26.53
2019-08-02,26.74
2019-08-05,32.94
2019-08-06,29.51
2019-08-07,30.24
2019-08-08,27.08
2019-08-09,27.42
2019-08-12,30.5
2019-08-13,27.11
2019-08-14,33.36
2019-08-15,31.71
2019-08-16,28.25
2019-08-19,26.39
2019-08-20,28.02
2019-08-21,26.26
2019-08-22,26.42
2019-08-23,30.65
2019-08-26,29.53
2019-08-27,29.89
2019-08-28,28.75
2019-08-29,26.59
2019-08-30,26.84
2019-09-02,.
2019-09-03,29.49
2019-09-04,27.0
2019-09-05,26.19
2019-09-06,25.34
2019-09-09,26.31
2019-09-10,26.76
2019-09-11,26.41
2019-09-12,25.73
2019-09-13,25.33
2019-09-16,26.71
2019-09-17,27.55
2019-09-18,26.72
2019-09-19,25.44
2019-09-20,24.78
2019-09-23,26.17
2019-09-24,28.53
2019-09-25,27.04
2019-09-26,26.98
2019-09-27,27.75
2019-09-30,27.85
2019-10-01,30.43
2019-10-02,32.11
2019-10-03,31.44
2019-10-04,28.41
2019-10-07,29.12
2019-10-08,31.98
