Contract Name;Last Trade Date;Strike;Last Price;Bid;Ask;Change;% Change;Volume;Open Interest;Implied Volatility
GOOG191220C00660000;2019006024 9:30AM EDT;660;467.7;478.6;487.4;0;0;0;1;0
GOOG191220C00680000;2019006024 9:30AM EDT;680;448.2;461.5;470.2;0;0;0;1;0
GOOG191220C00700000;2019007017 11:40AM EDT;700;456.58;479.4;488.5;0;0;5;6;0
GOOG191220C00800000;2019009023 10:58AM EDT;800;432;0;0;0;0;6;0;0
GOOG191220C00900000;2019009009 3:38PM EDT;900;310;331.4;340.3;0;0;1;0;0.4252
GOOG191220C00920000;2019006025 11:06AM EDT;920;194.42;224.4;234.5;0;0;0;6;0
GOOG191220C00940000;2019006014 10:10AM EDT;940;177;0;0;0;0;3;4;0
GOOG191220C00960000;2019006018 12:40PM EDT;960;180.5;203.6;211.2;0;0;2;1;0
GOOG191220C00980000;2019006004 1:59PM EDT;980;129.9;164.6;173.2;0;0;4;5;0
GOOG191220C01000000;2019009023 11:02AM EDT;1000;241;240.1;249.5;1;0.0042;3;25;0.397
GOOG191220C01020000;2019007026 9:30AM EDT;1020;212.94;159;165.8;0;0;2;50;0
GOOG191220C01040000;2019008014 2:35PM EDT;1040;160.1;208.5;218.2;0;0;1;0;0.4043
GOOG191220C01060000;2019009016 1:25PM EDT;1060;185.31;181.3;190;0;0;5;0;0.3204
GOOG191220C01080000;2019009019 10:55AM EDT;1080;179.16;0;0;0;0;1;0;0
GOOG191220C01100000;2019009006 10:54AM EDT;1100;139.5;146.5;155;0;0;1;0;0.2978
GOOG191220C01120000;2019009009 10:08AM EDT;1120;125.8;0;0;0;0;1;0;0
GOOG191220C01135000;2019009009 3:53PM EDT;1135;107.3;119.9;125.9;0;0;2;0;0.279
GOOG191220C01140000;2019009019 11:51AM EDT;1140;124;0;0;0;0;1;0;0
GOOG191220C01145000;2019009011 3:59PM EDT;1145;110;111;118.4;0;0;3;0;0.2763
GOOG191220C01150000;2019009017 3:55PM EDT;1150;111;108.3;113.9;0;0;2;0;0.2709
GOOG191220C01155000;2019009010 12:42PM EDT;1155;96.3;0;0;0;0;3;0;0
GOOG191220C01160000;2019009016 1:53PM EDT;1160;103.45;100.1;107.1;0;0;4;0;0.2702
GOOG191220C01165000;2019009009 3:12PM EDT;1165;83.7;97.3;103;0;0;2;0;0.2662
GOOG191220C01170000;2019009020 9:30AM EDT;1170;99.45;0;0;0;0;2;0;0
GOOG191220C01175000;2019009013 3:47PM EDT;1175;99.65;0;0;0;0;4;0;0
GOOG191220C01180000;2019009013 2:49PM EDT;1180;93.8;88.1;91.4;0;0;1;0;0.2564
GOOG191220C01185000;2019009011 12:00PM EDT;1185;84.3;84.6;87.8;0;0;1;0;0.2539
GOOG191220C01190000;2019009019 1:26PM EDT;1190;87.54;0;0;0;0;4;0;0
GOOG191220C01195000;2019009016 9:34AM EDT;1195;83.5;77.1;81.6;0;0;5;0;0.2526
GOOG191220C01200000;2019009017 12:48PM EDT;1200;74.5;73.5;79;0;0;6;0;0.2538
GOOG191220C01205000;2019009016 1:33PM EDT;1205;73.02;70.4;75.9;0;0;2;0;0.2524
GOOG191220C01210000;2019009016 3:12PM EDT;1210;73;67.8;72.8;0;0;3;0;0.2508
GOOG191220C01215000;2019009012 9:31AM EDT;1215;66.1;0;0;0;0;2;0;0
GOOG191220C01220000;2019009018 11:21AM EDT;1220;66.6;0;0;0;0;8;0;0
GOOG191220C01225000;2019009012 9:37AM EDT;1225;62;58.9;63.9;0;0;2;0;0.2462
GOOG191220C01230000;2019009023 9:57AM EDT;1230;57.74;58;64.4;1.31;0.0222;3;0;0.2585
GOOG191220C01235000;2019009023 3:01PM EDT;1235;58.2;55.9;57.9;1.36;0.0239;1;0;0.2415
