Contract Name;Last Trade Date;Strike;Last Price;Bid;Ask;Change;% Change;Volume;Open Interest;Implied Volatility
GOOG191220P00640000;2019009020 2:52PM EDT;640;0.18;0;0;0;0;2;77;0.25
GOOG191220P00660000;2019009020 2:52PM EDT;660;0.21;0;0;0;0;2;2;0.25
GOOG191220P00700000;2019008023 2:52PM EDT;700;1.1;0;0;0;0;10;57;0.25
GOOG191220P00720000;2019008005 2:02PM EDT;720;1.92;0.25;0.65;0;0;10;0;0.4644
GOOG191220P00740000;2019006024 9:30AM EDT;740;2.3;1.5;1.95;0;0;0;5;0.5066
GOOG191220P00760000;2019008030 10:07AM EDT;760;1.15;0;0;0;0;1;0;0.125
GOOG191220P00780000;2019009005 10:21AM EDT;780;1.12;0;0;0;0;1;0;0.125
GOOG191220P00800000;2019008023 2:43PM EDT;800;3.2;0;0;0;0;9;0;0.125
GOOG191220P00820000;2019008026 9:35AM EDT;820;3.76;0.3;1.65;0;0;1;0;0.4128
GOOG191220P00840000;2019009023 2:42PM EDT;840;0.9;0;0;0;0;1;0;0.125
GOOG191220P00860000;2019009012 12:57PM EDT;860;1.4;0.75;1.8;0;0;2;65;0.3757
GOOG191220P00880000;2019009011 11:31AM EDT;880;2.25;0;0;0;0;2;0;0.125
GOOG191220P00900000;2019009018 1:57PM EDT;900;2.3;0;0;0;0;4;0;0.125
GOOG191220P00920000;2019009023 9:35AM EDT;920;2.35;2;2.5;0.26;0.0996;13;215;0.3329
GOOG191220P00940000;2019009023 12:21PM EDT;940;2.8;0;0;0;0;11;0;0.125
GOOG191220P00960000;2019009006 11:08AM EDT;960;6.2;3;4.9;0;0;1;63;0.3347
GOOG191220P00980000;2019009020 12:56PM EDT;980;4.18;0;0;0;0;5;0;0.0625
GOOG191220P01000000;2019009023 3:19PM EDT;1000;4.9;4.7;5.3;0.49;0.0909;2;1669;0.2957
GOOG191220P01020000;2019009023 3:19PM EDT;1020;6;5.9;6.5;0.61;0.0923;2;181;0.2878
GOOG191220P01040000;2019009023 3:08PM EDT;1040;7.4;7.3;7.9;0.9;0.1084;5;622;0.2794
GOOG191220P01060000;2019009023 1:38PM EDT;1060;9.3;9;9.7;1;0.0971;3;293;0.272
GOOG191220P01080000;2019009023 1:22PM EDT;1080;11.4;10.9;11.9;3.1;0.2138;2;282;0.2649
GOOG191220P01100000;2019009023 12:42PM EDT;1100;14.1;0;0;0;0;30;779;0.0625
GOOG191220P01120000;2019009023 11:13AM EDT;1120;18.8;0;0;0;0;1;103;0.0313
GOOG191220P01135000;2019009023 11:46AM EDT;1135;20.1;19.6;20.8;0;0;1;44;0.2468
GOOG191220P01140000;2019009023 3:54PM EDT;1140;21.1;20.5;21.8;0.88;0.0435;1;139;0.2449
GOOG191220P01145000;2019009013 1:35PM EDT;1145;23.34;22.5;26.9;0;0;1;28;0.264
GOOG191220P01150000;2019009023 3:02PM EDT;1150;22.7;0;0;0;0;7;98;0.0313
GOOG191220P01155000;2019009017 3:14PM EDT;1155;28.46;26.6;29;0;0;10;37;0.2588
