DATE,VXAZNCLS
2014-10-08,35.98
2014-10-09,37.50
2014-10-10,39.27
2014-10-13,47.63
2014-10-14,45.55
2014-10-15,48.87
2014-10-16,49.58
2014-10-17,46.01
2014-10-20,44.65
2014-10-21,44.51
2014-10-22,44.76
2014-10-23,44.25
2014-10-24,30.35
2014-10-27,28.64
2014-10-28,26.98
2014-10-29,27.08
2014-10-30,27.18
2014-10-31,25.88
2014-11-03,26.64
2014-11-04,26.95
2014-11-05,28.73
2014-11-06,28.34
2014-11-07,27.54
2014-11-10,27.01
2014-11-11,26.73
2014-11-12,27.19
2014-11-13,28.36
2014-11-14,30.31
2014-11-17,30.63
2014-11-18,30.47
2014-11-19,31.24
2014-11-20,31.58
2014-11-21,29.83
2014-11-24,28.57
2014-11-25,28.09
2014-11-26,27.61
2014-11-27,.
2014-11-28,28.60
2014-12-01,30.96
2014-12-02,30.34
2014-12-03,32.47
2014-12-04,32.64
2014-12-05,32.21
2014-12-08,34.01
2014-12-09,34.64
2014-12-10,36.59
2014-12-11,36.01
2014-12-12,38.36
2014-12-15,38.71
2014-12-16,41.20
2014-12-17,39.07
2014-12-18,37.07
2014-12-19,35.95
2014-12-22,35.01
2014-12-23,33.93
2014-12-24,34.67
2014-12-25,.
2014-12-26,35.81
2014-12-29,37.79
2014-12-30,38.01
2014-12-31,38.11
2015-01-01,.
2015-01-02,39.40
2015-01-05,42.70
2015-01-06,43.35
2015-01-07,43.42
2015-01-08,41.77
2015-01-09,41.38
2015-01-12,46.82
2015-01-13,48.20
2015-01-14,48.20
2015-01-15,48.60
2015-01-16,45.56
2015-01-19,.
2015-01-20,44.17
2015-01-21,45.63
2015-01-22,43.48
2015-01-23,43.82
2015-01-26,44.98
2015-01-27,45.51
2015-01-28,47.03
2015-01-29,45.49
2015-01-30,31.77
2015-02-02,31.59
2015-02-03,29.39
2015-02-04,28.85
2015-02-05,28.59
2015-02-06,27.64
2015-02-09,28.29
2015-02-10,27.87
2015-02-11,27.90
2015-02-12,27.00
2015-02-13,26.02
2015-02-16,.
2015-02-17,26.94
2015-02-18,26.20
2015-02-19,26.06
2015-02-20,25.29
2015-02-23,25.57
2015-02-24,25.39
2015-02-25,26.23
2015-02-26,26.57
2015-02-27,25.60
2015-03-02,25.79
2015-03-03,25.54
2015-03-04,25.79
2015-03-05,25.87
2015-03-06,26.29
2015-03-09,26.73
2015-03-10,27.80
2015-03-11,27.76
2015-03-12,27.25
2015-03-13,27.37
2015-03-16,26.84
2015-03-17,27.22
2015-03-18,26.63
2015-03-19,26.33
2015-03-20,26.00
2015-03-23,27.39
2015-03-24,27.89
2015-03-25,29.07
2015-03-26,30.95
2015-03-27,30.99
2015-03-30,32.08
2015-03-31,32.66
2015-04-01,33.90
2015-04-02,33.74
2015-04-03,.
2015-04-06,36.34
2015-04-07,36.37
2015-04-08,37.21
2015-04-09,38.09
2015-04-10,38.51
2015-04-13,40.76
2015-04-14,39.68
2015-04-15,39.09
2015-04-16,39.83
2015-04-17,41.29
2015-04-20,42.88
2015-04-21,43.17
2015-04-22,45.13
2015-04-23,41.55
2015-04-24,26.64
2015-04-27,24.91
2015-04-28,24.59
2015-04-29,24.48
2015-04-30,25.83
2015-05-01,25.02
2015-05-04,24.50
2015-05-05,25.38
2015-05-06,25.42
2015-05-07,25.30
2015-05-08,23.99
2015-05-11,24.31
2015-05-12,24.78
2015-05-13,24.05
2015-05-14,23.28
2015-05-15,22.82
2015-05-18,23.29
2015-05-19,23.51
2015-05-20,23.55
2015-05-21,23.20
2015-05-22,22.40
2015-05-25,.
2015-05-26,23.65
2015-05-27,23.36
2015-05-28,23.33
2015-05-29,23.46
2015-06-01,23.37
2015-06-02,23.36
2015-06-03,23.54
2015-06-04,24.06
2015-06-05,23.44
2015-06-08,24.29
