Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Call/Put
GOOG191220C00660000,2019-06-24 9:30AM EDT,660.00 ,467.70 ,481.00 ,489.30 ,0,-,-,1.00 ,0.00%,Call
GOOG191220C00680000,2019-06-24 9:30AM EDT,680.00 ,448.20 ,459.10 ,467.40 ,0,-,-,1.00 ,0.00%,Call
GOOG191220C00700000,2019-07-17 11:40AM EDT,700.00 ,456.58 ,479.40 ,488.50 ,0,-,5,6.00 ,0.00%,Call
GOOG191220C00740000,2019-10-08 11:05AM EDT,740.00 ,460.20 ,0.00 ,0.00 ,0,-,-,0.00 ,0.00%,Call
GOOG191220C00760000,2019-09-30 12:12AM EDT,760.00 ,472.70 ,454.40 ,463.50 ,0,-,-,1.00 ,59.78%,Call
GOOG191220C00800000,2019-09-23 10:58AM EDT,800.00 ,432.00 ,414.40 ,424.00 ,0,-,6,8.00 ,54.82%,Call
GOOG191220C00900000,2019-09-09 3:38PM EDT,900.00 ,310.00 ,316.90 ,325.50 ,0,-,1,6.00 ,51.95%,Call
GOOG191220C00920000,2019-06-25 11:06AM EDT,920.00 ,194.42 ,224.40 ,234.50 ,0,-,-,6.00 ,0.00%,Call
GOOG191220C00940000,2019-10-11 12:36PM EDT,940.00 ,286.84 ,278.20 ,287.50 ,109.84,62.06%,1,4.00 ,48.40%,Call
GOOG191220C00960000,2019-06-18 12:40PM EDT,960.00 ,180.50 ,203.60 ,211.20 ,0,-,2,1.00 ,0.00%,Call
GOOG191220C00980000,2019-10-08 3:56PM EDT,980.00 ,220.20 ,239.80 ,249.50 ,0,-,1,5.00 ,44.45%,Call
GOOG191220C01000000,2019-10-08 3:56PM EDT,1000.00 ,201.95 ,219.30 ,228.50 ,0,-,1,25.00 ,40.46%,Call
GOOG191220C01020000,2019-10-10 10:04AM EDT,1020.00 ,198.20 ,201.30 ,210.00 ,0,-,1,50.00 ,38.85%,Call
GOOG191220C01040000,2019-10-02 10:33AM EDT,1040.00 ,162.00 ,183.20 ,192.50 ,0,-,1,155.00 ,37.89%,Call
GOOG191220C01060000,2019-09-16 1:25PM EDT,1060.00 ,185.31 ,166.90 ,174.90 ,0,-,5,43.00 ,36.57%,Call
GOOG191220C01080000,2019-09-19 10:55AM EDT,1080.00 ,179.16 ,149.50 ,157.00 ,0,-,1,37.00 ,34.81%,Call
GOOG191220C01100000,2019-10-10 12:24PM EDT,1100.00 ,131.87 ,131.60 ,140.00 ,0,-,1,113.00 ,33.44%,Call
GOOG191220C01120000,2019-10-02 12:28PM EDT,1120.00 ,88.70 ,115.30 ,123.50 ,0,-,2,61.00 ,32.09%,Call
GOOG191220C01135000,2019-09-09 3:53PM EDT,1135.00 ,107.30 ,102.70 ,110.00 ,0,-,2,52.00 ,30.24%,Call
GOOG191220C01140000,2019-10-02 10:22AM EDT,1140.00 ,89.80 ,99.20 ,105.80 ,0,-,1,62.00 ,29.77%,Call
GOOG191220C01145000,2019-10-09 3:53PM EDT,1145.00 ,93.30 ,95.40 ,102.50 ,0,-,3,72.00 ,29.77%,Call
GOOG191220C01150000,2019-10-11 2:05PM EDT,1150.00 ,101.40 ,91.90 ,98.40 ,10.01,10.95%,2,108.00 ,29.31%,Call
GOOG191220C01155000,2019-10-08 1:10PM EDT,1155.00 ,83.70 ,88.10 ,95.20 ,0,-,1,53.00 ,29.31%,Call
GOOG191220C01160000,2019-10-08 1:10PM EDT,1160.00 ,80.40 ,86.10 ,91.90 ,0,-,1,106.00 ,29.22%,Call
GOOG191220C01165000,2019-09-30 3:49PM EDT,1165.00 ,74.30 ,80.00 ,87.80 ,0,-,14,57.00 ,28.68%,Call
GOOG191220C01170000,2019-10-11 3:44PM EDT,1170.00 ,85.40 ,75.90 ,84.50 ,13.4,18.61%,75,37.00 ,28.54%,Call
GOOG191220C01175000,2019-10-09 3:00PM EDT,1175.00 ,81.70 ,72.20 ,78.30 ,6.1,8.07%,1,122.00 ,26.91%,Call
GOOG191220C01180000,2019-10-09 11:56AM EDT,1180.00 ,70.40 ,72.40 ,78.40 ,0,-,10,73.00 ,28.41%,Call
GOOG191220C01185000,2019-10-09 3:00PM EDT,1185.00 ,69.40 ,69.10 ,71.50 ,0,-,1,16.00 ,26.40%,Call
GOOG191220C01190000,2019-10-10 12:08PM EDT,1190.00 ,72.20 ,62.60 ,70.10 ,6.7,10.23%,1,67.00 ,27.08%,Call
GOOG191220C01195000,2019-10-10 11:10AM EDT,1195.00 ,65.60 ,59.50 ,68.80 ,0,-,3,30.00 ,27.76%,Call
GOOG191220C01200000,2019-10-11 10:18AM EDT,1200.00 ,66.80 ,59.70 ,65.70 ,6.8,11.33%,4,270.00 ,27.53%,Call
GOOG191220C01205000,2019-10-09 3:28PM EDT,1205.00 ,57.00 ,55.90 ,59.00 ,0,-,2,78.00 ,25.55%,Call
GOOG191220C01210000,2019-10-07 11:45AM EDT,1210.00 ,51.75 ,53.80 ,59.50 ,0,-,1,38.00 ,26.98%,Call
GOOG191220C01215000,2019-10-10 12:34PM EDT,1215.00 ,58.20 ,52.10 ,54.00 ,8.15,16.28%,1,142.00 ,25.52%,Call
GOOG191220C01220000,2019-10-08 3:49PM EDT,1220.00 ,51.23 ,48.40 ,53.70 ,0,-,1,53.00 ,26.50%,Call
GOOG191220C01225000,2019-10-11 11:58AM EDT,1225.00 ,50.00 ,44.20 ,48.30 ,-1.08,-2.11%,4,80.00 ,25.02%,Call
GOOG191220C01230000,2019-10-09 12:11PM EDT,1230.00 ,43.00 ,43.20 ,45.50 ,0,-,4,121.00 ,24.74%,Call
GOOG191220C01235000,2019-10-11 11:37AM EDT,1235.00 ,48.50 ,40.80 ,43.00 ,9.1,23.10%,1,17.00 ,24.57%,Call
GOOG191220C01240000,2019-10-09 1:38PM EDT,1240.00 ,39.65 ,37.00 ,42.70 ,0,-,1,103.00 ,25.41%,Call
GOOG191220C01245000,2019-10-07 2:31PM EDT,1245.00 ,39.30 ,35.30 ,38.40 ,0,-,2,63.00 ,24.30%,Call
GOOG191220C01250000,2019-10-11 3:42PM EDT,1250.00 ,38.55 ,33.70 ,36.10 ,3.67,10.52%,6,903.00 ,24.11%,Call
GOOG191220C01255000,2019-10-09 9:53AM EDT,1255.00 ,31.10 ,30.60 ,34.10 ,0,-,1,41.00 ,24.03%,Call
GOOG191220C01260000,2019-10-09 12:41PM EDT,1260.00 ,30.22 ,29.10 ,33.80 ,0,-,19,62.00 ,24.76%,Call
GOOG191220C01265000,2019-10-09 12:52PM EDT,1265.00 ,27.80 ,26.20 ,31.90 ,0,-,2,30.00 ,24.66%,Call
GOOG191220C01270000,2019-10-11 11:35AM EDT,1270.00 ,29.00 ,25.60 ,30.00 ,2.2,8.21%,5,65.00 ,24.53%,Call
GOOG191220C01275000,2019-10-10 11:38AM EDT,1275.00 ,26.82 ,23.70 ,28.20 ,0,-,1,62.00 ,24.42%,Call
GOOG191220C01280000,2019-10-09 1:13PM EDT,1280.00 ,22.50 ,22.10 ,26.70 ,0,-,3,136.00 ,24.42%,Call
GOOG191220C01285000,2019-10-08 12:44PM EDT,1285.00 ,20.50 ,19.50 ,24.10 ,0,-,1,16.00 ,23.80%,Call
GOOG191220C01290000,2019-10-11 9:47AM EDT,1290.00 ,23.94 ,18.00 ,22.90 ,3.4,16.55%,4,81.00 ,23.89%,Call
GOOG191220C01295000,2019-10-09 3:56PM EDT,1295.00 ,17.08 ,16.50 ,21.00 ,0,-,5,65.00 ,23.55%,Call
GOOG191220C01300000,2019-10-11 2:10PM EDT,1300.00 ,19.70 ,15.00 ,19.80 ,1.91,10.74%,17,1541.00 ,23.57%,Call
GOOG191220C01305000,2019-10-09 1:52PM EDT,1305.00 ,17.20 ,14.00 ,18.60 ,0,-,2,16.00 ,23.55%,Call
GOOG191220C01310000,2019-10-10 3:04PM EDT,1310.00 ,15.32 ,12.70 ,15.80 ,0,-,20,65.00 ,22.53%,Call
GOOG191220C01315000,2019-10-11 2:53PM EDT,1315.00 ,15.50 ,12.90 ,16.20 ,2.89,22.92%,1,17.00 ,23.41%,Call
GOOG191220C01320000,2019-10-10 2:26PM EDT,1320.00 ,12.64 ,11.50 ,13.30 ,0,-,4,133.00 ,22.19%,Call
