MAS: Financial Database - Exchange Rates

Exchange Rates (Daily)
Jul 2020 to Sep 2020


End of Period,,,S$ Per Unit of US Dollar,S$ Per 100 Units of Chinese Renminbi
2020,Jul,01,1.3939,19.73
,,02,1.3936,19.72
,,03,1.3946,19.74
,,06,1.3917,19.73
,,07,1.3925,19.85
,,08,1.3952,19.88
,,09,1.3905,19.90
,,13,1.3883,19.84
,,14,1.3934,19.88
,,15,1.3912,19.87
,,16,1.3919,19.89
,,17,1.3913,19.87
,,20,1.3911,19.89
,,21,1.3903,19.88
,,22,1.3833,19.84
,,23,1.3840,19.76
,,24,1.3854,19.75
,,27,1.3791,19.70
,,28,1.3794,19.70
,,29,1.3780,19.68
,,30,1.3752,19.65
,Aug,03,1.3760,19.73
,,04,1.3760,19.71
,,05,1.3713,19.71
,,06,1.3696,19.73
,,07,1.3724,19.69
,,11,1.3726,19.75
,,12,1.3751,19.78
,,13,1.3714,19.76
,,14,1.3733,19.77
,,17,1.3697,19.73
,,18,1.3676,19.73
,,19,1.3654,19.72
,,20,1.3694,19.78
,,21,1.3667,19.78
,,24,1.3723,19.83
,,25,1.3692,19.81
,,26,1.3685,19.82
,,27,1.3656,19.84
,,28,1.3641,19.83
,,31,1.3579,19.83
,Sep,01,1.3570,19.89
,,02,1.3615,19.93
,,03,1.3625,19.95
,,04,1.3653,19.95
,,07,1.3650,19.99
,,08,1.3679,20.01
,,09,1.3714,20.02
,,10,1.3676,20.00
,,11,1.3677,20.00
,,14,1.3662,20.00
,,15,1.3613,20.06
,,16,1.3600,20.08
,,17,1.3628,20.11
,,18,1.3563,20.07
,,21,1.3549,20.05
,,22,1.3623,20.08
,,23,1.3665,20.11
,,24,1.3747,20.17
,,25,1.3757,20.18
,,28,1.3757,20.17
,,29,1.3713,20.10
,,30,1.3692,20.10

"* Yearly, monthly and weekly figures are end period values."
"* Daily figures are values as of noon."
