Date,Chinese yuan   (CNY)                     ,Singapore dollar   (SGD)                     ,U.S. dollar   (USD)                     
1-Jul-2020,0.102814,0.520969,0.726178
2-Jul-2020,0.102535,0.519671,0.724214
7-Jul-2020,0.103110,0.519890,0.723947
8-Jul-2020,0.103096,0.518553,0.723485
9-Jul-2020,0.103249,0.519057,0.721749
10-Jul-2020,0.103067,0.519057,0.722303
13-Jul-2020,0.103099,0.519882,0.721752
14-Jul-2020,0.102851,0.517939,0.721696
15-Jul-2020,0.102833,0.516982,0.719226
16-Jul-2020,0.102999,0.517843,0.720786
17-Jul-2020,0.102864,0.517507,0.720007
20-Jul-2020,0.102899,0.517009,0.719211
21-Jul-2020,0.102834,0.517263,0.719151
22-Jul-2020,0.102303,0.517927,0.716448
23-Jul-2020,0.102384,0.517548,0.716286
24-Jul-2020,0.101984,0.516825,0.716010
27-Jul-2020,0.101663,0.516143,0.711813
28-Jul-2020,0.101529,0.515785,0.711474
29-Jul-2020,0.101592,0.515848,0.710838
30-Jul-2020,0.101509,0.516799,0.710702
31-Jul-2020,0.101307,0.516799,0.707680
3-Aug-2020,0.101982,0.517009,0.711404
4-Aug-2020,0.101700,0.516381,0.710540
5-Aug-2020,0.101882,0.516459,0.708220
6-Aug-2020,0.101891,0.516790,0.707795
7-Aug-2020,0.101825,0.516434,0.708754
10-Aug-2020,0.102036,0.516434,0.710841
11-Aug-2020,0.102031,0.516830,0.709401
12-Aug-2020,0.102235,0.516519,0.710265
13-Aug-2020,0.102056,0.516749,0.708669
14-Aug-2020,0.102100,0.516554,0.709383
17-Aug-2020,0.102049,0.517135,0.708320
18-Aug-2020,0.101980,0.516531,0.706408
19-Aug-2020,0.101928,0.516403,0.705097
20-Aug-2020,0.102328,0.516953,0.707916
21-Aug-2020,0.102504,0.518340,0.708415
24-Aug-2020,0.102377,0.515838,0.707884
25-Aug-2020,0.102505,0.517362,0.708372
26-Aug-2020,0.102675,0.517448,0.708128
27-Aug-2020,0.102979,0.518493,0.708054
28-Aug-2020,0.102664,0.516843,0.705025
31-Aug-2020,0.102794,0.519011,0.704765
1-Sep-2020,0.103025,0.517667,0.702474
2-Sep-2020,0.103370,0.518248,0.705594
3-Sep-2020,0.103526,0.519134,0.707320
8-Sep-2020,0.103695,0.517840,0.708354
9-Sep-2020,0.103654,0.517527,0.709737
10-Sep-2020,0.103428,0.517404,0.707602
11-Sep-2020,0.103576,0.517720,0.708085
14-Sep-2020,0.103557,0.517688,0.707265
15-Sep-2020,0.104082,0.518545,0.705895
16-Sep-2020,0.104361,0.518968,0.705796
17-Sep-2020,0.104498,0.518938,0.707209
18-Sep-2020,0.104429,0.520459,0.705898
21-Sep-2020,0.104523,0.522231,0.707571
22-Sep-2020,0.104223,0.519916,0.708282
23-Sep-2020,0.104597,0.519833,0.710352
24-Sep-2020,0.104407,0.518069,0.712189
25-Sep-2020,0.104553,0.517938,0.712527
28-Sep-2020,0.104183,0.516782,0.710937
29-Sep-2020,0.104188,0.518189,0.710593
30-Sep-2020,0.104345,0.518874,0.710442
