"TransactionNo","Date","AccountNo","TransactionType","Amount","SGD_Amount","Currency","index","d_balance"
1,"1-Jul-2020",1,"Withdraw",-65.1833475606211,-65.1833475606211,"SGD",1,1854.37665243938
2,"1-Jul-2020",1,"Withdraw",-9.97757742926309,-9.97757742926309,"SGD",1,1844.39907501012
3669,"1-Jul-2020",1,"Spend",-2.66,-3.78,"USD",1,1996.22297878342
3670,"1-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",1,1991.52172190502
3,"2-Jul-2020",1,"Withdraw",-0.163729529854116,-0.163729529854116,"SGD",2,1844.23534548026
4,"2-Jul-2020",1,"Withdraw",-267.701545821311,-267.701545821311,"SGD",2,1576.53379965895
5,"2-Jul-2020",1,"Withdraw",-24.0311765497897,-24.0311765497897,"SGD",2,1552.50262310916
3671,"2-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",2,1986.82046502662
3672,"2-Jul-2020",1,"Spend",-11.99,-2.41,"CNY",2,1984.40738286851
3673,"2-Jul-2020",1,"Spend",-0.1,-0.14,"USD",2,1984.26438475119
3674,"2-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",2,1979.56312787279
3675,"2-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",2,1974.86187099439
3676,"2-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",2,1970.16061411599
6,"7-Jul-2020",1,"Deposit",1870.05399120972,1870.05399120972,"SGD",3,3422.55661431888
7,"7-Jul-2020",1,"Withdraw",-8.05608752559745,-8.05608752559745,"SGD",3,3414.50052679328
3677,"7-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",3,1965.45935723759
3678,"7-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",3,1960.75810035919
3679,"7-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",3,1956.05684348079
3680,"7-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",3,1951.35558660239
3681,"7-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",3,1946.65432972399
3682,"7-Jul-2020",1,"Spend",-1.14,-1.62,"USD",3,1945.03387913365
3683,"7-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",3,1940.33262225525
8,"8-Jul-2020",1,"Deposit",1343.11375790276,1343.11375790276,"SGD",4,4757.61428469604
3684,"8-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",4,1935.63136537685
3685,"8-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",4,1930.93010849845
3686,"8-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",4,1926.22885162005
3687,"8-Jul-2020",1,"Spend",-2.1,-2.99,"USD",4,1923.24264316844
3688,"8-Jul-2020",1,"Spend",-0.03,-0.01,"CNY",4,1923.23564844846
3689,"8-Jul-2020",1,"Spend",-3.56,-5.07,"USD",4,1918.16841021202
3690,"8-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",4,1913.46715333362
9,"9-Jul-2020",1,"Withdraw",-10.575576008046,-10.575576008046,"SGD",5,4747.03870868799
10,"9-Jul-2020",1,"Withdraw",-11.6934355006223,-11.6934355006223,"SGD",5,4735.34527318737
3691,"9-Jul-2020",1,"Spend",-0.05,-0.07,"USD",5,1913.40159127462
3692,"9-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",5,1908.70033439622
3693,"9-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",5,1903.99907751782
3694,"9-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",5,1899.29782063942
3695,"9-Jul-2020",1,"Spend",-0.13,-0.03,"CNY",5,1899.27242854078
3696,"9-Jul-2020",1,"Spend",-4.41,-0.89,"CNY",5,1898.37832853486
3697,"9-Jul-2020",1,"Spend",-10.81,-15.32,"USD",5,1883.05333499207
11,"10-Jul-2020",1,"Withdraw",-6.76134046346938,-6.76134046346938,"SGD",6,4728.5839327239
3698,"10-Jul-2020",1,"Spend",-0.01,-0.02,"USD",6,1883.03561426305
3699,"10-Jul-2020",1,"Spend",-0.53,-0.76,"USD",6,1882.27698963783
3700,"10-Jul-2020",1,"Spend",-5.59,-7.93,"USD",6,1874.34432204514
3701,"10-Jul-2020",1,"Spend",-0.03,-0.01,"CNY",6,1874.33774995348
3702,"10-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",6,1869.63649307508
3703,"10-Jul-2020",1,"Spend",-0.46,-0.09,"CNY",6,1869.54342724875
3704,"10-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",6,1864.84217037035
12,"13-Jul-2020",1,"Withdraw",-0.165716837855466,-0.165716837855466,"SGD",7,4728.41821588604
13,"13-Jul-2020",1,"Withdraw",-4.80673670928836,-4.80673670928836,"SGD",7,4723.61147917675
14,"13-Jul-2020",1,"Withdraw",-0.012893293940499,-0.012893293940499,"SGD",7,4723.59858588281
3705,"13-Jul-2020",1,"Spend",-3.92,-0.79,"CNY",7,1864.0492626942
3706,"13-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",7,1859.3480058158
3707,"13-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",7,1854.6467489374
3708,"13-Jul-2020",1,"Spend",-24.72,-5,"CNY",7,1849.6456075528
15,"14-Jul-2020",1,"Withdraw",-1.02858395338234,-1.02858395338234,"SGD",8,4722.57000192943
16,"14-Jul-2020",1,"Withdraw",-0.0608182113524421,-0.0608182113524421,"SGD",8,4722.50918371808
3709,"14-Jul-2020",1,"Spend",-0.07,-0.1,"USD",8,1849.54298269357
3710,"14-Jul-2020",1,"Spend",-24.78,-5.02,"CNY",8,1844.52400836538
3711,"14-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",8,1839.82275148698
3712,"14-Jul-2020",1,"Spend",-0.13,-0.18,"USD",8,1839.64024732078
3713,"14-Jul-2020",1,"Spend",-1.56,-2.22,"USD",8,1837.42181557087
17,"15-Jul-2020",1,"Withdraw",-16.05543384767,-16.05543384767,"SGD",9,4706.45374987041
18,"15-Jul-2020",1,"Withdraw",-0.518350188910918,-0.518350188910918,"SGD",9,4705.9353996815
3714,"15-Jul-2020",1,"Spend",-0.09,-0.12,"USD",9,1837.29809033835
3715,"15-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",9,1832.59683345995
3716,"15-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",9,1827.89557658155
3717,"15-Jul-2020",1,"Spend",-0.07,-0.1,"USD",9,1827.79187558832
19,"16-Jul-2020",1,"Withdraw",-154.495693492575,-154.495693492575,"SGD",10,4551.43970618892
3718,"16-Jul-2020",1,"Spend",-0.76,-1.08,"USD",10,1826.71016669929
3719,"16-Jul-2020",1,"Spend",-28,-39.76,"USD",10,1786.9545961801
3720,"16-Jul-2020",1,"Spend",-0.11,-0.15,"USD",10,1786.79972073109
3721,"16-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",10,1782.09846385269
3722,"16-Jul-2020",1,"Spend",-0.24,-0.05,"CNY",10,1782.04877694493
3723,"16-Jul-2020",1,"Spend",-2.22,-3.16,"USD",10,1778.89116906714
3724,"16-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",10,1774.18991218874
3725,"16-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",10,1769.48865531034
3726,"16-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",10,1764.78739843194
3727,"17-Jul-2020",1,"Spend",-141.74,-201.14,"USD",11,1563.64629746708
3728,"17-Jul-2020",1,"Spend",-0.48,-0.1,"CNY",11,1563.5484884681
3729,"17-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",11,1558.8472315897
3730,"17-Jul-2020",1,"Spend",-4.9,-0.99,"CNY",11,1557.85438612167
3731,"17-Jul-2020",1,"Spend",-0.04,-0.01,"CNY",11,1557.84579364165
3732,"17-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",11,1553.14453676325
3733,"17-Jul-2020",1,"Spend",-2.73,-3.87,"USD",11,1549.27551023315
20,"20-Jul-2020",1,"Withdraw",-0.953363673610626,-0.953363673610626,"SGD",12,4550.48634251531
21,"20-Jul-2020",1,"Withdraw",-23.1302108440887,-23.1302108440887,"SGD",12,4527.35613167122
22,"20-Jul-2020",1,"Withdraw",-0.165780589662847,-0.165780589662847,"SGD",12,4527.19035108156
3734,"20-Jul-2020",1,"Spend",-0.58,-0.82,"USD",12,1548.45605506984
3735,"20-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",12,1543.75479819144
3736,"20-Jul-2020",1,"Spend",-0.24,-0.35,"USD",12,1543.40817848078
3737,"20-Jul-2020",1,"Spend",-15.88,-22.53,"USD",12,1520.8807147127
3738,"20-Jul-2020",1,"Spend",-5,-1.02,"CNY",12,1519.86562867463
3739,"20-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",12,1515.16437179623
23,"21-Jul-2020",1,"Withdraw",-4.65230195172565,-4.65230195172565,"SGD",13,4522.53804912984
24,"21-Jul-2020",1,"Withdraw",-0.338879708208668,-0.338879708208668,"SGD",13,4522.19916942163
3740,"21-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",13,1510.46311491783
3741,"21-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",13,1505.76185803943
3742,"21-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",13,1501.06060116103
3743,"21-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",13,1496.35934428263
3744,"21-Jul-2020",1,"Spend",-4.7,-4.7,"SGD",13,1491.65808740423
