"","timestamp","CRM","NOW","GS","AAPL","SPY"
"1",2020-06-11,172.05,375.05,192.9527,83.8204,298.0779
"2",2020-06-12,175.11,385.13,200.5563,84.544,301.6476
"3",2020-06-15,178.61,392.5,205.0588,85.5896,304.4637
"4",2020-06-16,180.48,398.46,208.319,87.8579,310.3239
"5",2020-06-17,181.4,400.65,204.9396,87.7356,309.0348
"6",2020-06-18,187.66,401.03,202.6038,87.7706,309.1538
"7",2020-06-19,186.95,399.87,200.4072,87.269,307.395
"8",2020-06-22,191.65,402.82,202.1864,89.5523,309.367
"9",2020-06-23,189.06,400.94,203.5381,91.4638,310.7912
"10",2020-06-24,185.55,392.93,196.8191,89.8492,302.8633
"11",2020-06-25,188.34,401.64,205.8441,91.042,306.1102
"12",2020-06-26,183.17,399.97,188.0427,88.2447,298.8396
"13",2020-06-29,183.33,394.55,192.2967,90.2784,303.2318
"14",2020-06-30,187.33,405.06,196.4215,91.032,307.1161
"15",2020-07-01,191.89,416.79,196.3719,90.8599,309.2674
"16",2020-07-02,192.53,414.21,196.2029,90.8599,310.9705
"17",2020-07-06,197.72,416.44,206.1025,93.2904,315.771
"18",2020-07-07,196.38,411.74,198.151,93.0009,312.5142
"19",2020-07-08,200.28,425.2,201.0235,95.1669,314.9045
"20",2020-07-09,200.74,426.37,195.6363,95.5762,313.1118
"21",2020-07-10,198.88,422.91,204.3134,95.7434,316.3089
"22",2020-07-13,188.34,401.87,207.6133,95.3017,313.57
"23",2020-07-14,189.56,413.23,212.7122,96.8788,317.6335
"24",2020-07-15,188.09,423.56,215.5846,97.545,320.5517
"25",2020-07-16,185.51,413.88,213.3681,96.3447,319.496
"26",2020-07-17,187.78,421.81,210.1279,96.1501,320.4222
"27",2020-07-20,195.09,449.27,210.4261,98.1764,323.0117
"28",2020-07-21,190.8,437.22,210.7342,96.8214,323.6989
"29",2020-07-22,191.31,441.6,204.7507,97.0934,325.5415
"30",2020-07-23,188.54,430.85,201.7888,92.674,321.6572
"31",2020-07-24,188.49,425.19,200.2482,92.4444,319.5856
"32",2020-07-27,190.96,433.81,201.7888,94.6354,321.9162
"33",2020-07-28,189.5,435.04,200.3973,93.0808,319.8744
"34",2020-07-29,193.61,445.71,201.3515,94.865,323.8085
"35",2020-07-30,191.7,431.4,198.32,96.0129,322.6532
"36",2020-07-31,194.85,439.2,196.7595,106.0643,325.2028
"37",2020-08-03,203.19,439.96,198.1808,108.7369,327.4637
"38",2020-08-04,201.41,438.15,200.4172,109.463,328.7286
"39",2020-08-05,202.64,435.74,203.2797,109.8598,330.7703
"40",2020-08-06,207.79,430.33,203.0113,113.6927,332.9813
"41",2020-08-07,201.05,431.21,207.007,111.1125,333.2204
"42",2020-08-10,197.16,438.68,208.1102,112.7275,334.2163
"43",2020-08-11,191.99,421.36,209.78,109.375,331.4575
"44",2020-08-12,192.62,427.13,210.8436,113.01,336.0788
"45",2020-08-13,195.14,438.42,207.1262,115.01,335.4712
"46",2020-08-14,193.46,435.73,206.7088,114.9075,335.4812
