Exp. Date,Last,Change,Bid,Ask,Volume,Open Int.,Strike,Last,Change,Bid,Ask,Volume,Open Int.
Dec-18,155.9,--,185.8,191.6,--,--,1365,54.65,--,35.7,38.3,--,5
Dec-18,208.85,--,182.9,187.9,--,15,1370,65.8,--,36.9,39.8,--,49
Dec-18,163,--,179.2,183.1,--,53,1375,55,--,38.3,41.1,--,56
Dec-18,143.25,--,174.6,179.2,--,16,1380,54.47,--,40.4,42.2,--,55
Dec-18,202.8,--,171.3,176,--,10,1385,67.2,--,41,44,--,11
Dec-18,215.5,--,166.7,172.4,--,3,1390,62.4,--,42.6,45.5,--,38
Dec-18,123.72,--,164.6,168.9,--,3,1395,50,-21.70 ,44.1,46.9,3,55
Dec-18,160,9.90 ,161.2,164.8,3,143,1400,52,-8.20 ,45.7,48.3,5,300
Dec-18,118.25,--,157.1,160.7,--,6,1405,64.2,--,47.3,49.6,--,39
Dec-18,122,--,153.4,158.6,--,18,1410,73.7,--,49,51.5,--,27
Dec-18,115.5,--,151.3,155.6,--,4,1415,85.57,--,50.6,53.5,--,14
Dec-18,129,--,148.6,152.2,--,22,1420,57.85,-12.75 ,53,55.1,1,41
Dec-18,130.1,--,144.5,149,--,54,1425,83.5,--,54,57.6,--,23
Dec-18,101.6,--,141.4,145.9,--,22,1430,61,-17.90 ,55.8,59.3,1,19
Dec-18,114.3,--,137.8,143.8,--,6,1435,88,--,57.7,61.3,--,10
Dec-18,99.5,--,134.5,139.1,--,59,1440,79.96,--,59.5,62.7,--,22
Dec-18,104.21,--,131.7,136.1,--,25,1445,82,--,61.4,64.4,--,22
Dec-18,116.4,--,128.5,134.4,--,49,1450,83.6,--,63.4,66.3,--,147
Dec-18,98,--,125.5,131.5,--,12,1455,62.6,--,65.4,69.3,--,12
Dec-18,112.69,--,123.6,128.5,--,37,1460,89.9,--,67.4,70.5,--,20
Dec-18,107.5,--,120,124.1,--,15,1465,92.5,--,69.5,72.7,--,13
Dec-18,120,12.00 ,117,122.7,7,46,1470,80,-16.30 ,71.7,74.9,1,51
Dec-18,112,8.65 ,114.4,119.9,1,16,1475,96.56,--,73.8,77,--,33
Dec-18,82.9,--,111.7,115.7,--,47,1480,98.95,--,76,79.2,--,26
Dec-18,108.41,9.28 ,109.5,113.3,4,14,1485,86.4,-14.60 ,78.3,81.5,6,5
Dec-18,108,8.80 ,106.9,109.2,6,1808,1490,92.4,-8.60 ,80.5,83.2,4,1790
Dec-18,103.2,8.40 ,104.9,108,1,25,1495,104.8,--,83.7,86.1,--,41
Dec-18,102.93,10.38 ,102,106.3,122,3804,1500,93,-16.12 ,85.2,88.5,109,3926
Dec-18,94,10.00 ,91.3,96.2,4,1010,1520,122.5,--,95,98.6,--,131
Dec-18,80.4,5.10 ,83,85.4,1,475,1540,130.7,--,106.8,109.4,--,166
Dec-18,77.3,5.79 ,78.5,81.2,6,163,1550,137.1,--,110.9,116,--,28
Dec-18,73.7,18.60 ,73.3,76.4,5,837,1560,158.42,--,116.5,120.3,--,59
Dec-18,67.6,8.78 ,65.3,68.3,21,112,1580,168.85,--,128.3,132.5,--,44
Dec-18,60,7.08 ,59,62,7,317,1600,145.4,-22.00 ,140.8,146.7,8,69
Dec-18,50.15,1.95 ,51.4,55.1,3,387,1620,230,--,155.6,159.8,--,28
Dec-18,47.5,11.45 ,46.6,48.8,4,5086,1640,195.6,--,170.2,174.1,--,62
Dec-18,39.63,--,43.5,45.2,--,601,1650,221.1,--,174.7,179.4,--,19
Dec-18,29.6,--,40.7,42.4,--,139,1660,229.8,--,183.4,186.7,--,5
