,Calls,,,,,,,Puts,,,,,
Exp. Date,Last,Change,Bid,Ask,Volume,Open Int.,Strike,Last,Change,Bid,Ask,Volume,Open Int.
18-Dec-20,,,,,,,,,,,,,
18-Dec,--,--,187.6,195.3,--,--,1335,72.6,--,41.3,43.8,--,121
18-Dec,178.9,--,184.2,191.9,--,5,1340,47.34,--,42.7,45.2,--,143
18-Dec,268.49,--,180.5,188.1,--,1,1345,53.5,--,44.1,46.7,--,6
18-Dec,175,--,177.1,184.5,--,20,1350,50.8,--,45.5,48.2,--,72
18-Dec,259.83,--,173.7,181.5,--,4,1355,50.6,--,47,49.7,--,18
18-Dec,216.11,--,170.3,177,--,99,1360,52.2,--,48.6,51.4,--,124
18-Dec,155.9,--,166.9,174.5,--,--,1365,42.53,--,50.2,53,--,5
18-Dec,208.85,--,164.1,170.8,--,15,1370,54.53,--,51.7,54.6,--,49
18-Dec,137,--,160.7,167.4,--,54,1375,55,--,53.4,56.4,--,56
18-Dec,143.25,--,157.3,164.1,--,16,1380,67.55,--,55.1,58,--,52
18-Dec,202.8,--,154.2,160.8,--,10,1385,67.2,--,56.8,59.8,--,11
18-Dec,215.5,--,151.1,157.6,--,3,1390,62.4,--,58.5,61.7,--,38
18-Dec,123.72,--,147.9,154.3,--,3,1395,71.7,--,60.5,63.6,--,55
18-Dec,150,--,144.8,151.1,--,145,1400,66.33,--,62.1,65.5,--,300
18-Dec,118.25,--,141.3,146.3,--,6,1405,75.5,--,64,66.9,--,41
18-Dec,122,--,138.6,144.9,--,18,1410,73.7,--,66.1,69.3,--,27
18-Dec,115.5,--,135.7,141.9,--,4,1415,88.1,--,67.8,71.2,--,14
18-Dec,129,--,132.7,138.8,--,22,1420,74.8,--,69.8,73.4,--,34
18-Dec,106.64,--,129.8,135.8,--,55,1425,83.5,--,72,75.4,--,23
18-Dec,146.3,--,126.9,132.9,--,22,1430,78.9,--,74.2,77.6,--,19
18-Dec,114.3,--,124.1,130,--,6,1435,88,--,76.2,79.7,--,10
18-Dec,117.11,--,121.3,127.1,--,59,1440,80.1,--,78.5,81.9,--,21
18-Dec,104.21,--,118.5,124.2,--,25,1445,88.95,--,80.9,84.1,--,21
18-Dec,109.66,--,116.9,121.4,--,45,1450,85,--,83.7,86.4,--,144
18-Dec,93,--,113.1,118.6,--,12,1455,62.6,--,84.5,88.8,--,12
18-Dec,114,--,110.5,115.9,--,23,1460,91.6,--,87.4,91.1,--,20
18-Dec,112.6,--,107.8,113.3,--,9,1465,92.5,--,88.6,93.4,--,13
18-Dec,109,--,105.2,110,--,44,1470,96.3,--,91.5,95.9,--,51
18-Dec,102,--,102.5,108,--,15,1475,97.93,--,93.9,98.1,--,31
18-Dec,94.9,--,100.3,105.5,--,47,1480,98.9,--,96.3,100.9,--,25
18-Dec,102.1,--,97.7,102.9,--,11,1485,137.85,--,98.7,103.3,--,5
18-Dec,94.8,--,95.3,99.1,--,49,1490,108,--,101.2,104.5,--,63
18-Dec,96.1,--,94,98,--,20,1495,108.3,--,105.6,108.6,--,41
18-Dec,96.3,--,90.6,95.5,--,383,1500,109.9,--,106.3,111.3,--,575
18-Dec,83.2,--,81.7,86,--,1006,1520,122.5,--,116.8,122.2,--,131
18-Dec,75.9,--,74.1,77.5,--,471,1540,132.1,--,130.2,133.8,--,151
18-Dec,66.2,--,70.3,73.4,--,149,1550,151.81,--,136.1,140,--,24
18-Dec,70.3,--,65.3,68.3,--,831,1560,158.42,--,139.9,145,--,59
18-Dec,60,--,58,60.8,--,109,1580,168.85,--,152.4,157.8,--,44
18-Dec,55,--,51.4,54.9,--,298,1600,182.7,--,165.4,172.3,--,69
18-Dec,45.71,--,45.6,48.3,--,384,1620,230,--,179.5,186.2,--,28
