"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,199,202.37,197.62,199.49,199.49,18759470,0,1
"2",2020-05-29,200,207.88,196.7,207.39,207.39,43174101,0,1
"3",2020-06-01,205.9,207.2,203.94,206.57,206.57,16137492,0,1
"4",2020-06-02,207.21,214.57,207.17,214.33,214.33,22450929,0,1
"5",2020-06-03,215.6,218.97,213.75,218.61,218.61,19980930,0,1
"6",2020-06-04,217.28,220,216.32,218.04,218.04,14947048,0,1
"7",2020-06-05,220,220.59,218.7,219.55,219.55,11973943,0,1
"8",2020-06-08,219.6,220.4,215.33,219,219,12711230,0,1
"9",2020-06-09,216.31,220.72,216.2,220.72,220.72,14123015,0,1
"10",2020-06-10,222,225,220.6,223.68,223.68,13253588,0,1
"11",2020-06-11,218,219.95,213.56,215.24,215.24,15544004,0,1
"12",2020-06-12,218.5,219.5,213.88,217.64,217.64,12705547,0,1
"13",2020-06-15,214.11,217.72,212.75,217.03,217.03,17388395,0,1
"14",2020-06-16,221,224.84,220.1001,222.62,222.62,17186192,0,1
"15",2020-06-17,224.4,225,222.5,224.25,224.25,12475399,0,1
"16",2020-06-18,223.74,226.03,222.92,223.54,223.54,10309447,0,1
"17",2020-06-19,226.38,226.5,220.09,220.64,220.64,19538652,0,1
"18",2020-06-22,220.92,222.08,219.445,221.41,221.41,13270349,0,1
"19",2020-06-23,225.12,230.225,224.53,228.75,228.75,18252486,0,1
"20",2020-06-24,228.3,231.03,224.2524,226.22,226.22,12146449,0,1
"21",2020-06-25,224.6,224.69,220.87,222.16,222.16,14933839,0,1
"22",2020-06-26,222.21,222.26,213.5,215.71,215.71,19322569,0,1
"23",2020-06-29,215.03,216.5,211.82,215.02,215.02,12324500,0,1
"24",2020-06-30,215.74,216.43,212.89,215.7,215.7,12926900,0,1
"25",2020-07-01,215.81,216.55,214.74,215.95,215.95,11778600,0,1
"26",2020-07-02,221.85,225.02,220.06,223.6,223.6,18120800,0,1
"27",2020-07-06,233.31,240.48,232.82,240,240,33592600,0,1
"28",2020-07-07,241.01,241.3,236.13,236.51,236.51,16477700,0,1
"29",2020-07-08,244.86,258.49,244.02,257.68,257.68,39878900,0,1
"30",2020-07-09,265.55,268,255.91,261.58,261.58,36694400,0,1
"31",2020-07-10,260.21,261.9,255.71,261.01,261.01,20332700,0,1
"32",2020-07-13,261.45,265.66,250.68,251.67,251.67,21522700,0,1
"33",2020-07-14,246.57,249.75,241.23,248.58,248.58,19731500,0,1
"34",2020-07-15,251.48,252.5,246.54,249.21,249.21,12597200,0,1
"35",2020-07-16,241.77,245.05,240.74,242.5,242.5,18016100,0,1
"36",2020-07-17,246.55,247.93,244.48,247.14,247.14,18742000,0,1
"37",2020-07-20,256.45,257.67,252.43,254.81,254.81,19000997,0,1
"38",2020-07-21,261.21,261.92,256.52,257.9,257.9,17199889,0,1
"39",2020-07-22,255.76,256.27,249.6,251.7,251.7,19682212,0,1
"40",2020-07-23,252.1,257.66,248.69,251.88,251.88,25711957,0,1
"41",2020-07-24,244.96,249.48,241.89,249,249,17221468,0,1
"42",2020-07-27,247.11,252.87,245.81,250.86,250.86,18966862,0,1
"43",2020-07-28,251.15,251.65,248.53,249.05,249.05,9878735,0,1
"44",2020-07-29,250.34,254.3,250.1,252.45,252.45,11493575,0,1
"45",2020-07-30,251.7,253.86,249.62,252.74,252.74,7032900,0,1
"46",2020-07-31,254.2,254.4,248.1,251.02,251.02,12310670,0,1
"47",2020-08-03,254.02,260.65,254,257.94,257.94,11534531,0,1
"48",2020-08-04,260.08,262.56,258.82,262.2,262.2,10994457,0,1
"49",2020-08-05,263.74,265.976,261.755,264.91,264.91,10729172,0,1
"50",2020-08-06,263.42,265.7,259.2,265.68,265.68,10359473,0,1
"51",2020-08-07,257.41,257.76,247.57,252.1,252.1,22529642,0,1
"52",2020-08-10,249.34,251.7499,246.1,248.13,248.13,13621712,0,1
"53",2020-08-11,251.29,252.88,247.83,248.42,248.42,10681758,0,1
"54",2020-08-12,249.25,256.08,248.68,255.19,255.19,11120394,0,1
"55",2020-08-13,256.39,256.97,252.8799,253.72,253.72,8794502,0,1
"56",2020-08-14,255.49,255.77,251.64,253.97,253.97,7876422,0,1
"57",2020-08-17,253,257.375,250.085,256.96,256.96,9694206,0,1
"58",2020-08-18,258.71,261.42,256.06,259.2,259.2,13267829,0,1
"59",2020-08-19,260.89,261.29,257.38,260.59,260.59,14096512,0,1
"60",2020-08-20,256.89,258.88,254.18,257.97,257.97,21460767,0,1
"61",2020-08-21,259.03,267.43,258.31,265.8,265.8,25648217,0,1
"62",2020-08-24,273.24,276.97,271.62,276.02,276.02,22475757,0,1
"63",2020-08-25,278.06,289.12,276.04,286,286,27535466,0,1
"64",2020-08-26,289.26,292.48,284.1,291.96,291.96,19530251,0,1
"65",2020-08-27,290.17,290.25,282.1,284.17,284.17,14805798,0,1
"66",2020-08-28,285.09,289.5,283.57,289,289,9689610,0,1
"67",2020-08-31,288.62,289.19,283.61,287.03,287.03,13253796,0,1
"68",2020-09-01,289.2,298,288.87,298,298,13815922,0,1
"69",2020-09-02,299,299,289.79,296.07,296.07,12638553,0,1
"70",2020-09-03,289,290.7334,278.16,282.5,282.5,16766248,0,1
"71",2020-09-04,279.6,283.78,267.39,281.39,281.39,15885844,0,1
"72",2020-09-08,270.23,273.97,266.59,270.02,270.02,12734048,0,1
