"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,144.73,151.945,144.51,148.79,148.79,10050679,0,1
"2",2020-05-29,150.5,155.33,148.93,155.01,155.01,10156091,0,1
"3",2020-06-01,154.9,155.97,153.05,154.53,154.53,5658288,0,1
"4",2020-06-02,156,157.6,154.61,157.49,157.49,6344432,0,1
"5",2020-06-03,157.49,158.271,155.12,156.78,156.78,6732830,0,1
"6",2020-06-04,156.7,159.4799,153.635,154.6,154.6,7554487,0,1
"7",2020-06-05,152.98,156.34,150,156,156,8446143,0,1
"8",2020-06-08,154.28,156.21,153.11,156.09,156.09,5494431,0,1
"9",2020-06-09,155.79,158.21,155.5949,156.86,156.86,7265620,0,1
"10",2020-06-10,157.6,160.89,157.6,159.91,159.91,5881831,0,1
"11",2020-06-11,158.34,159.5,152.915,153.04,153.04,9041718,0,1
"12",2020-06-12,157.06,157.21,151.89,155.26,155.26,7038068,0,1
"13",2020-06-15,152.6404,157.92,152.22,157.55,157.55,5117394,0,1
"14",2020-06-16,160.19,162.83,158.3,161.22,161.22,6539467,0,1
"15",2020-06-17,162.84,164.9597,161.66,163.83,163.83,5582620,0,1
"16",2020-06-18,164.72,168.83,164.31,168.05,168.05,8583734,0,1
"17",2020-06-19,170.6,171.12,164.01,164.36,164.36,11332668,0,1
"18",2020-06-22,165.58,170.9,165.55,170.26,170.26,7793821,0,1
"19",2020-06-23,172,175.4,170.4,172.79,172.79,7693874,0,1
"20",2020-06-24,170.595,173.48,164.29,168,168,8931751,0,1
"21",2020-06-25,169,172.78,168.19,172.5,172.5,6650737,0,1
"22",2020-06-26,173.71,173.71,168.6,170.87,170.87,8158658,0,1
"23",2020-06-29,171.48,171.48,165.56,168.35,168.35,5423702,0,1
"24",2020-06-30,170.7,174.69,169.41,174.23,174.23,6831902,0,1
"25",2020-07-01,174.625,178.235,172.56,177.43,177.43,6871374,0,1
"26",2020-07-02,179.69,179.8,176.72,177.21,177.21,5944556,0,1
"27",2020-07-06,180.29,181.24,174.46,176.18,176.18,8360157,0,1
"28",2020-07-07,177.69,179.95,176.31,177.28,177.28,5529463,0,1
"29",2020-07-08,178.89,182.64,178.5,181.57,181.57,7234385,0,1
"30",2020-07-09,183.4,183.99,179.15,183.23,183.23,6340005,0,1
"31",2020-07-10,181.63,182.52,177.13,178.4,178.4,7583168,0,1
"32",2020-07-13,180.42,180.66,170.74,171.51,171.51,10234780,0,1
"33",2020-07-14,168.75,172.6,164.33,172.3,172.3,10624537,0,1
"34",2020-07-15,172.99,173.36,169.01,172.06,172.06,6698988,0,1
"35",2020-07-16,169.9,171.34,166.5,169.81,169.81,6630594,0,1
"36",2020-07-17,171.5,174.56,169.54,173.92,173.92,7373955,0,1
"37",2020-07-20,174.65,179.64,172.68,178.82,178.82,5996828,0,1
"38",2020-07-21,179.25,179.46,174.32,175.58,175.58,5612366,0,1
"39",2020-07-22,176.16,179.49,175.73,178.42,178.42,4669007,0,1
"40",2020-07-23,178.15,180.75,171.94,173.86,173.86,6999615,0,1
"41",2020-07-24,171.08,173.6,169.08,172.56,172.56,6256092,0,1
"42",2020-07-27,173.92,178.46,172.39,177.98,177.98,6868784,0,1
