Exp. Date,Last,Change,Bid,Ask,Volume,Open Int.,Strike,Last,Change,Bid,Ask,Volume,Open Int.
Dec-18,243.52,--,187.8,193.7,--,9,1315,48,4.90 ,40.5,46.9,1,25
Dec-18,251.79,--,184.3,192,--,2,1320,44.6,--,42,49.7,--,36
Dec-18,--,--,180.8,189,--,--,1325,46.1,--,43.5,51.7,--,25
Dec-18,152.6,--,177.4,183.2,--,1,1330,48.74,1.04 ,45,51.4,4,53
Dec-18,--,--,174.1,179.7,--,--,1335,72.6,--,49.9,56,--,121
Dec-18,178.9,--,170.6,178.5,--,5,1340,47.34,--,51.4,56.6,--,143
Dec-18,268.49,--,165,173,--,1,1345,53.5,--,50,59.1,--,6
Dec-18,175,-4.60 ,164,172.5,2,19,1350,50.8,-3.40 ,52.8,60.8,2,72
Dec-18,259.83,--,160.6,169,--,4,1355,50.6,--,53.6,62.5,--,18
Dec-18,216.11,--,156.8,165.5,--,99,1360,58.54,-20.20 ,58.2,61.6,9,127
Dec-18,155.9,--,154.2,159.9,--,--,1365,42.53,--,57,64.7,--,5
Dec-18,208.85,--,151.2,156.6,--,15,1370,54.53,--,61.8,67.8,--,49
Dec-18,137,--,147.3,153.5,--,54,1375,63.4,-18.30 ,61.6,69.7,11,53
Dec-18,143.25,--,142.5,150.4,--,16,1380,67.55,8.35 ,62.5,71.7,1,52
Dec-18,202.8,--,141.2,147.1,--,10,1385,67.2,-9.80 ,64.5,73.5,12,5
Dec-18,215.5,--,138.2,144.3,--,3,1390,66.03,6.24 ,66.7,75.6,20,20
Dec-18,123.72,--,135.3,141.3,--,3,1395,71.7,--,68.5,76.8,--,55
Dec-18,140,-18.20 ,132.4,138.3,1,144,1400,74.8,5.60 ,70.8,79.6,35,278
Dec-18,118.25,--,129.5,133.7,--,6,1405,75.5,-5.20 ,72.4,78.1,3,41
Dec-18,122,--,126.6,132.5,--,18,1410,77.7,0.80 ,74.7,81.4,3,25
Dec-18,115.5,--,123.7,129.7,--,4,1415,88.1,--,76.8,86.1,--,14
Dec-18,129,--,118.9,126.8,--,22,1420,89,--,79,87,--,32
Dec-18,106.64,--,116.1,124,--,55,1425,83.5,--,81,89.2,10,18
Dec-18,146.3,--,113.3,121.3,--,22,1430,77,--,83.5,91.6,--,19
Dec-18,114.3,--,111,118.6,--,6,1435,88,--,85.6,95,--,10
Dec-18,117.11,--,108,115.8,--,59,1440,81.75,--,90.3,95,--,23
Dec-18,104.21,--,105.5,113.1,--,25,1445,88.95,5.68 ,90.5,99.8,2,20
Dec-18,109.66,-22.34 ,106.3,113,1,45,1450,82.2,--,96.4,103,--,138
Dec-18,93,--,100.7,108.1,--,12,1455,62.6,--,95.7,104.1,--,12
Dec-18,104.53,-1.27 ,102.5,105.6,13,14,1460,91.7,--,98,104.8,--,20
Dec-18,103,-5.60 ,95.6,103.1,3,6,1465,102,23.46 ,100.5,107.4,1,13
Dec-18,101.19,-12.81 ,93.1,101.9,10,37,1470,106.39,15.39 ,103,109.4,3,53
Dec-18,107.69,1.69 ,92.9,98.1,5,21,1475,97.93,--,104.5,112.4,--,31
Dec-18,94.9,-15.60 ,88.9,95.9,24,27,1480,98.4,--,107,115.3,--,26
Dec-18,98.12,-10.28 ,88.7,93.5,1,11,1485,137.85,--,110,118,--,5
Dec-18,89.7,-15.00 ,86.1,89.5,2,43,1490,117.9,11.11 ,113,119.3,4,36
Dec-18,104.1,--,83.9,87.6,--,21,1495,106,--,118.9,122.2,--,28
Dec-18,86.93,-13.07 ,79.9,86.6,5,375,1500,120.8,1.50 ,119,127,27,604
Dec-18,78.6,-16.40 ,75.4,77.9,54,657,1520,133.5,2.90 ,129.5,137.6,1,128
Dec-18,68,-2.00 ,66.7,69.9,12,460,1540,134.3,--,145.9,149.6,--,149
Dec-18,65,-14.00 ,62.9,67.4,3,147,1550,151.81,--,152.3,155.9,--,24
Dec-18,63.4,-12.30 ,55.4,61.4,11,816,1560,158.42,3.34 ,154,161.4,1,60
Dec-18,56.8,-4.00 ,48.6,54.6,8,96,1580,168.85,--,170.8,174.8,--,44
Dec-18,47.7,-17.20 ,45,51.1,32,298,1600,182.7,15.97 ,184.5,192,2,70
