"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
2020-05-28,304.65,306.84,302.24,302.97,300.418,90232213,0,1
2020-05-29,302.46,304.96,299.47,304.32,301.7567,119067393,0,1
2020-06-01,303.62,306.21,303.06,305.55,302.9763,55696013,0,1
2020-06-02,306.55,308.13,305.1,308.08,305.485,73635043,0,1
2020-06-03,310.24,313.22,309.94,312.18,309.5505,91750087,0,1
2020-06-04,311.11,313,309.08,311.36,308.7374,75471787,0,1
2020-06-05,317.23,321.27,317.16,319.34,316.6501,150302461,0,1
2020-06-08,320.22,323.41,319.63,323.2,320.4776,73310274,0,1
2020-06-09,320.3,323.28,319.36,320.79,318.0879,77174695,0,1
2020-06-10,321.42,322.39,318.22,319,316.313,93944722,0,1
2020-06-11,311.46,312.15,300.01,300.61,298.0779,208285190,0,1
2020-06-12,308.24,309.08,298.6,304.21,301.6476,194450402,0,1
2020-06-15,298.02,308.28,296.74,307.05,304.4637,134968796,0,1
2020-06-16,315.48,315.64,307.67,312.96,310.3239,137048347,0,1
2020-06-17,314.07,314.39,310.86,311.66,309.0348,82814592,0,1
2020-06-18,310.01,312.3,309.51,311.78,309.1538,80355844,0,1
2020-06-19,314.17,314.38,306.53,308.64,307.395,135211345,1.3662,1
2020-06-22,307.99,311.05,306.75,310.62,309.367,74007212,0,1
2020-06-23,313.49,314.5,311.61,312.05,310.7912,68066900,0,1
2020-06-24,309.84,310.51,302.1,304.09,302.8633,132067392,0,1
2020-06-25,303.47,307.64,301.28,307.35,306.1102,88966079,0,1
2020-06-26,306.16,306.39,299.42,300.05,298.8396,127811745,0,1
2020-06-29,301.41,304.61,298.93,304.46,303.2318,79773260,0,1
2020-06-30,303.99,310.2,303.82,308.36,307.1161,112828251,0,1
2020-07-01,309.57,311.89,309.07,310.52,309.2674,71910372,0,1
2020-07-02,314.24,315.7,311.51,312.23,310.9705,69214995,0,1
2020-07-06,316.37,317.68,315.56,317.05,315.771,61149258,0,1
2020-07-07,315.38,317.52,313.37,313.78,312.5142,82583406,0,1
2020-07-08,314.61,316.3,312.7,316.18,314.9045,54202602,0,1
2020-07-09,316.84,317.1,310.68,314.38,313.1118,83079092,0,1
2020-07-10,314.31,317.88,312.76,317.59,316.3089,57454436,0,1
2020-07-13,320.13,322.71,314.13,314.84,313.57,102549097,0,1
2020-07-14,313.3,319.76,312,318.92,317.6335,92791839,0,1
2020-07-15,322.41,323.04,319.27,321.85,320.5517,86921534,0,1
2020-07-16,319.79,321.28,319.09,320.79,319.496,54433414,0,1
2020-07-17,321.88,322.57,319.74,321.72,320.4222,64421802,0,1
2020-07-20,321.43,325.13,320.62,324.32,323.0117,56150230,0,1
2020-07-21,326.45,326.93,323.94,325.01,323.6989,57245315,0,1
2020-07-22,324.62,327.2,324.5,326.86,325.5415,57792915,0,1
2020-07-23,326.47,327.23,321.48,322.96,321.6572,75737989,0,1
2020-07-24,320.95,321.99,319.246,320.88,319.5856,73766597,0,1
2020-07-27,321.63,323.41,320.775,323.22,321.9162,48292970,0,1
2020-07-28,322.43,323.64,320.85,321.17,319.8744,57494979,0,1
2020-07-29,322.12,325.73,322.075,325.12,323.8085,48454159,0,1
2020-07-30,321.9,324.41,319.64,323.96,322.6532,61861714,0,1
2020-07-31,325.9,326.63,321.33,326.52,325.2028,85210755,0,1
2020-08-03,328.32,329.62,327.73,328.79,327.4637,53077948,0,1
2020-08-04,327.86,330.06,327.86,330.06,328.7286,41917893,0,1
2020-08-05,331.47,332.39,331.18,332.11,330.7703,42866354,0,1
2020-08-06,331.4799,334.46,331.13,334.33,332.9813,43679447,0,1
2020-08-07,333.28,334.88,332.3,334.57,333.2204,57308270,0,1
2020-08-10,335.06,335.77,332.955,335.57,334.2163,44282089,0,1
2020-08-11,336.85,337.54,332.01,332.8,331.4575,69601087,0,1
2020-08-12,335.44,338.28,332.8377,337.44,336.0788,53826128,0,1
2020-08-13,336.61,338.2514,335.83,336.83,335.4712,41816146,0,1
2020-08-14,336.41,337.42,335.62,336.84,335.4812,47260390,0,1
2020-08-17,337.94,338.34,336.8517,337.91,336.5469,34496002,0,1
2020-08-18,338.34,339.1,336.61,338.64,337.2739,38733908,0,1
2020-08-19,339.05,339.61,336.62,337.23,335.8696,68054244,0,1
2020-08-20,335.36,338.8,335.22,338.28,336.9154,42207826,0,1
2020-08-21,337.92,339.72,337.55,339.48,338.1106,55106628,0,1
2020-08-24,342.12,343,339.4504,342.92,341.5367,48588662,0,1
2020-08-25,343.53,344.21,342.27,344.12,342.7318,38463381,0,1
2020-08-26,344.76,347.86,344.17,347.57,346.1679,50790237,0,1
2020-08-27,348.51,349.9,346.53,348.33,346.9249,58034142,0,1
2020-08-28,349.44,350.72,348.15,350.58,349.1658,48588940,0,1
2020-08-31,350.35,351.3,349.06,349.31,347.9009,66099183,0,1
2020-09-01,350.21,352.71,349.24,352.6,351.1776,54999325,0,1
2020-09-02,354.67,358.75,353.43,357.7,356.2571,69540035,0,1
2020-09-03,355.87,356.38,342.59,345.39,343.9967,148011129,0,1
2020-09-04,346.13,347.83,334.87,342.57,341.1881,139156281,0,1
2020-09-08,336.71,342.64,332.88,333.21,331.8659,114465322,0,1
2020-09-09,337.55,342.46,336.61,339.79,338.4193,91462290,0,1
2020-09-10,341.82,342.53,332.85,333.89,332.5431,90569548,0,1
2020-09-11,335.82,336.97,331,334.06,332.7124,84680194,0,1
2020-09-14,337.49,340.38,334.2208,338.46,337.0947,65605686,0,1
2020-09-15,341.12,342.02,338.4683,340.17,338.7978,52920862,0,1
2020-09-16,341.51,343.06,338.52,338.82,337.4532,82211256,0,1
2020-09-17,333.56,337.6996,332.991,335.84,334.4852,91523339,0,1
2020-09-18,335.37,335.49,327.97,330.65,330.65,105877942,1.3392,1
2020-09-21,325.7,327.13,321.73,326.97,326.97,99450829,0,1
2020-09-22,328.57,330.9,325.86,330.3,330.3,63612107,0,1
2020-09-23,330.9,331.2,322.1,322.64,322.64,93112240,0,1
2020-09-24,321.22,326.797,319.8,323.5,323.5,76681332,0,1
2020-09-25,322.58,329.58,321.64,328.73,328.73,71069426,0,1
2020-09-28,333.22,334.96,332.15,334.19,334.19,64584614,0,1
2020-09-29,333.97,334.77,331.6209,332.37,332.37,51531594,0,1
2020-09-30,333.09,338.29,332.88,334.89,334.89,104081136,0,1
2020-10-01,337.69,338.74,335.01,337.04,337.04,88698745,0,1
2020-10-02,331.7,337.0126,331.19,333.84,333.84,89431112,0,1
2020-10-05,336.06,339.96,336.01,339.76,339.76,45713108,0,1
2020-10-06,339.91,342.17,334.38,334.93,334.93,90128883,0,1
2020-10-07,338.12,341.63,338.09,340.76,340.76,56999597,0,1
2020-10-08,342.85,343.85,341.86,343.78,343.78,45242476,0,1
2020-10-09,345.56,347.35,344.89,346.85,346.85,59528606,0,1
2020-10-12,349.59,354.02,349.06,352.43,352.43,80388533,0,1
2020-10-13,352.28,352.4651,349.09,350.13,350.13,73255513,0,1
2020-10-14,350.75,351.93,347.14,347.93,347.93,57958749,0,1
2020-10-15,343.71,348.02,343.13,347.5,347.5,60357659,0,1
2020-10-16,348.96,350.75,347.1,347.29,347.29,89501868,0,1
