Country,Weight,CAPE,PE,PC,PB,PS,DY,ST Mom,LT Mom,Margin,Turnover,ROE,Value Rank,Momentum Rank,Reversion Rank,Aggregate Score,Score
China,3.60%,18,13,6.8,1.3,1.2,2.50%,1.1,1.12,9%,1.08,10%,12.3,6,32,0.1,1
Germany,3.10%,17.3,29.6,9,1.6,0.9,2.30%,1.11,1.06,3%,1.78,5%,22.9,7,5.5,0.09,2
Finland,0.40%,24.4,21.6,12.6,1.9,1.5,2.70%,1.15,1.11,7%,1.27,9%,26.1,2.5,24,0.09,3
Sweden,1.00%,21.4,18.1,12.7,2.4,2,1.50%,1.14,1.12,11%,1.2,13%,24.7,2,32,0.08,4
Korea (South),1.50%,13.5,25.2,6.8,1,0.8,1.90%,1.08,1.05,3%,1.25,4%,15.1,11,15,0.08,5
Norway,0.40%,14.3,66.2,8.9,1.7,1.3,3.20%,1.14,1.01,2%,1.31,3%,25.5,8,11,0.07,6
Poland,0.20%,8.9,18.6,6.1,0.9,0.6,1.00%,1.07,0.94,3%,1.5,5%,8.8,18,12,0.07,7
Taiwan,1.40%,22.5,20.1,12,2.2,1.3,3.30%,1.07,1.07,6%,1.69,11%,24.9,10,16,0.07,8
Denmark,0.70%,36.3,31.2,16.2,3.6,3,1.40%,1.11,1.15,10%,1.2,12%,33.8,3.5,30.5,0.07,9
United States,48.10%,31.9,30.6,16.7,4.1,2.6,1.50%,1.11,1.08,8%,1.58,13%,33.6,5.5,22,0.06,10
Ireland,0.10%,40.6,63.1,12.8,1.5,1.7,0.80%,1.13,1.04,3%,0.88,2%,31,7.5,21.5,0.06,11
Australia,1.80%,17.5,26.3,11.1,2,1.9,3.50%,1.12,1.01,7%,1.05,8%,26.1,9.5,30.5,0.06,12
New Zealand,0.10%,30.2,32.2,17.8,2.4,2.3,2.70%,1.11,1.07,7%,1.04,7%,33.8,6,30.5,0.06,13
Italy,0.90%,17.2,41.3,6.2,1.1,0.6,2.80%,1.06,0.95,1%,1.83,3%,19.5,19,2,0.06,14
Canada,2.70%,20.7,25.6,9.2,1.8,1.5,3.00%,1.09,1,6%,1.2,7%,24.9,13.5,24.5,0.06,15
Hong Kong,4.30%,14.1,21,14,1.7,2.2,2.30%,1.06,1.05,10%,0.77,8%,21.7,13,39,0.05,16
France,3.50%,18.3,37.1,9,1.6,1,1.90%,1.06,0.97,3%,1.6,4%,25.4,18,7.5,0.05,17
Japan,8.00%,19.4,24.5,9.2,1.3,0.8,2.40%,1.03,0.98,3%,1.63,5%,20.3,20.5,9.5,0.05,18
Netherlands,1.40%,23.9,46.3,14.4,2.2,1.7,1.60%,1.07,1.04,4%,1.29,5%,34.5,12.5,16.5,0.05,19
India,2.50%,20.9,34.4,16,2.8,1.8,1.40%,1.09,0.98,5%,1.56,8%,32.8,14,16,0.05,20
Austria,0.10%,11.2,13.9,5.1,0.8,0.5,3.50%,1.02,0.88,4%,1.6,6%,5.9,29,11,0.05,21
Czech,0.00%,7.9,11.5,5.9,1.2,1.3,5.90%,1.02,0.92,11%,0.92,10%,5.9,26,38.5,0.05,22
Belgium,0.50%,18.5,24.3,12.2,1.4,1.4,2.70%,1.06,0.93,6%,1,6%,22,20,27.5,0.05,23
Switzerland,2.60%,25.1,22.7,14.1,2.8,2.1,2.80%,1.04,1.02,9%,1.33,12%,29.5,17,26,0.05,24
United Kingdom,3.50%,12.6,28.2,9.3,1.5,0.9,3.80%,1.03,0.91,3%,1.67,5%,19.8,25,8,0.05,25
Portugal,0.10%,15.8,26.8,5.3,1.4,0.6,4.50%,0.99,0.93,2%,2.33,5%,17.3,27.5,2.5,0.05,26
Spain,0.80%,11.2,21.2,6.7,1.2,1,4.10%,1.01,0.9,5%,1.2,6%,11.8,28.5,21,0.04,27
South Africa,0.40%,15.7,15.8,9.7,1.8,1.5,3.30%,1.04,0.89,9%,1.2,11%,18.3,24.5,29.5,0.04,28
Greece,0.10%,-2,42.4,10.5,0.6,0.6,4.00%,1.03,0.88,1%,1,1%,16.7,27.5,17.5,0.04,29
Malaysia,0.40%,14.8,24.5,10.7,1.5,1.9,3.10%,1.02,0.96,8%,0.79,6%,20.1,23.5,34.5,0.04,30
Indonesia,0.40%,13.9,19.4,13,2.6,1.9,2.90%,1.04,0.89,10%,1.37,13%,22.5,24.5,26,0.04,31
Hungary,0.00%,11.7,13.5,5.6,0.9,0.5,0.80%,0.97,0.85,4%,1.8,7%,6.7,35.5,8.5,0.04,32
Russia,0.80%,6.6,10.1,4.4,0.9,0.8,7.10%,0.98,0.87,8%,1.13,9%,3.1,34,30,0.04,33
Israel,0.20%,16.3,22.7,13.5,1.3,1.2,1.80%,0.99,0.89,5%,1.08,6%,20.5,30,25,0.04,34
Philippines,0.30%,13.3,19,8,1.5,1.1,2.10%,0.98,0.85,6%,1.36,8%,13.7,34.5,19,0.04,35
Singapore,0.60%,11.3,17.2,6.6,0.8,0.8,4.20%,0.96,0.85,5%,1,5%,9,36,25,0.04,36
Mexico,0.40%,14.9,22.2,8.6,1.6,1,3.10%,0.99,0.84,5%,1.6,7%,18.2,34.5,12.5,0.04,37
Turkey,0.20%,7.1,13.8,5.7,1.4,0.8,1.10%,0.88,0.78,6%,1.75,10%,7.7,40,14,0.04,38
Thailand,0.40%,13.5,20.2,9.1,1.6,1.2,3.30%,0.96,0.84,6%,1.33,8%,16.6,37.5,21,0.03,39
Brazil,1.00%,16.4,33.6,10,2,1.6,3.00%,1.01,0.8,5%,1.25,6%,26.9,34.5,20,0.03,40
