"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,180.74,184.15,180.38,181.4,180.9599,33831824,0,1
"2",2020-05-29,182.73,184.27,180.41,183.25,182.8054,42146720,0,1
"3",2020-06-01,182.54,183,181.46,182.83,182.3864,22668821,0,1
"4",2020-06-02,184.25,185,181.35,184.91,184.4614,30794585,0,1
"5",2020-06-03,184.82,185.94,183.58,185.36,184.9103,27311016,0,1
"6",2020-06-04,184.3,185.84,182.3,182.92,182.4762,28761809,0,1
"7",2020-06-05,182.62,187.73,182.01,187.2,186.7458,39893643,0,1
"8",2020-06-08,185.94,188.55,184.44,188.36,187.903,33211590,0,1
"9",2020-06-09,188,190.7,187.26,189.8,189.3395,29783916,0,1
"10",2020-06-10,191.13,198.52,191.01,196.84,196.3624,43872329,0,1
"11",2020-06-11,193.13,195.76,186.07,186.27,185.8181,52854672,0,1
"12",2020-06-12,190.54,191.72,185.18,187.74,187.2845,43373587,0,1
"13",2020-06-15,184.58,190.82,184.01,188.94,188.4816,32770189,0,1
"14",2020-06-16,192.89,195.58,191.46,193.57,193.1004,42556656,0,1
"15",2020-06-17,195.03,196.32,193.69,194.24,193.7687,25687822,0,1
"16",2020-06-18,194,196.49,194,196.32,195.8437,23061648,0,1
"17",2020-06-19,198.59,199.29,194.37,195.15,194.6765,44441141,0,1
"18",2020-06-22,195.79,200.76,195.23,200.57,200.0834,32818929,0,1
"19",2020-06-23,202.09,203.95,201.43,201.91,201.4201,30917447,0,1
"20",2020-06-24,201.6,203.25,196.56,197.84,197.36,36740647,0,1
"21",2020-06-25,197.8,200.61,195.47,200.34,199.8539,27803933,0,1
"22",2020-06-26,199.73,199.89,194.88,196.33,195.8537,54675780,0,1
"23",2020-06-29,195.78,198.53,193.55,198.44,197.9586,26701586,0,1
"24",2020-06-30,197.88,204.4,197.74,203.51,203.0163,34310283,0,1
"25",2020-07-01,203.14,206.35,201.77,204.7,204.2034,32071431,0,1
"26",2020-07-02,205.68,208.02,205,206.26,205.7596,29322547,0,1
"27",2020-07-06,208.83,211.13,208.09,210.7,210.1888,32033747,0,1
"28",2020-07-07,210.45,214.67,207.99,208.25,207.7448,33600749,0,1
"29",2020-07-08,210.07,213.26,208.69,212.83,212.3136,33602226,0,1
