Exp.Date,Strike,Open Int.,OptionType,Bid,Ask,Underlying,Today
12/18/2020,1365,0,c,185.8,191.6,1515.22,10/9/2020
12/18/2020,1370,15,c,182.9,187.9,1515.22,10/9/2020
12/18/2020,1375,53,c,179.2,183.1,1515.22,10/9/2020
12/18/2020,1380,16,c,174.6,179.2,1515.22,10/9/2020
12/18/2020,1385,10,c,171.3,176,1515.22,10/9/2020
12/18/2020,1390,3,c,166.7,172.4,1515.22,10/9/2020
12/18/2020,1395,3,c,164.6,168.9,1515.22,10/9/2020
12/18/2020,1400,143,c,161.2,164.8,1515.22,10/9/2020
12/18/2020,1405,6,c,157.1,160.7,1515.22,10/9/2020
12/18/2020,1410,18,c,153.4,158.6,1515.22,10/9/2020
12/18/2020,1415,4,c,151.3,155.6,1515.22,10/9/2020
12/18/2020,1420,22,c,148.6,152.2,1515.22,10/9/2020
12/18/2020,1425,54,c,144.5,149,1515.22,10/9/2020
12/18/2020,1430,22,c,141.4,145.9,1515.22,10/9/2020
12/18/2020,1435,6,c,137.8,143.8,1515.22,10/9/2020
12/18/2020,1440,59,c,134.5,139.1,1515.22,10/9/2020
12/18/2020,1445,25,c,131.7,136.1,1515.22,10/9/2020
12/18/2020,1450,49,c,128.5,134.4,1515.22,10/9/2020
12/18/2020,1455,12,c,125.5,131.5,1515.22,10/9/2020
12/18/2020,1460,37,c,123.6,128.5,1515.22,10/9/2020
12/18/2020,1465,15,c,120,124.1,1515.22,10/9/2020
12/18/2020,1470,46,c,117,122.7,1515.22,10/9/2020
12/18/2020,1475,16,c,114.4,119.9,1515.22,10/9/2020
12/18/2020,1480,47,c,111.7,115.7,1515.22,10/9/2020
12/18/2020,1485,14,c,109.5,113.3,1515.22,10/9/2020
12/18/2020,1490,1808,c,106.9,109.2,1515.22,10/9/2020
12/18/2020,1495,25,c,104.9,108,1515.22,10/9/2020
12/18/2020,1500,3804,c,102,106.3,1515.22,10/9/2020
12/18/2020,1520,1010,c,91.3,96.2,1515.22,10/9/2020
12/18/2020,1540,475,c,83,85.4,1515.22,10/9/2020
12/18/2020,1550,163,c,78.5,81.2,1515.22,10/9/2020
12/18/2020,1560,837,c,73.3,76.4,1515.22,10/9/2020
12/18/2020,1580,112,c,65.3,68.3,1515.22,10/9/2020
12/18/2020,1600,317,c,59,62,1515.22,10/9/2020
12/18/2020,1620,387,c,51.4,55.1,1515.22,10/9/2020
12/18/2020,1640,5086,c,46.6,48.8,1515.22,10/9/2020
12/18/2020,1650,601,c,43.5,45.2,1515.22,10/9/2020
12/18/2020,1660,139,c,40.7,42.4,1515.22,10/9/2020
12/18/2020,1365,5,p,35.7,38.3,1515.22,10/9/2020
12/18/2020,1370,49,p,36.9,39.8,1515.22,10/9/2020
12/18/2020,1375,56,p,38.3,41.1,1515.22,10/9/2020
12/18/2020,1380,55,p,40.4,42.2,1515.22,10/9/2020
12/18/2020,1385,11,p,41,44,1515.22,10/9/2020
12/18/2020,1390,38,p,42.6,45.5,1515.22,10/9/2020
12/18/2020,1395,55,p,44.1,46.9,1515.22,10/9/2020
12/18/2020,1400,300,p,45.7,48.3,1515.22,10/9/2020
12/18/2020,1405,39,p,47.3,49.6,1515.22,10/9/2020
12/18/2020,1410,27,p,49,51.5,1515.22,10/9/2020
12/18/2020,1415,14,p,50.6,53.5,1515.22,10/9/2020
12/18/2020,1420,41,p,53,55.1,1515.22,10/9/2020
12/18/2020,1425,23,p,54,57.6,1515.22,10/9/2020
12/18/2020,1430,19,p,55.8,59.3,1515.22,10/9/2020
12/18/2020,1435,10,p,57.7,61.3,1515.22,10/9/2020
12/18/2020,1440,22,p,59.5,62.7,1515.22,10/9/2020
12/18/2020,1445,22,p,61.4,64.4,1515.22,10/9/2020
12/18/2020,1450,147,p,63.4,66.3,1515.22,10/9/2020
12/18/2020,1455,12,p,65.4,69.3,1515.22,10/9/2020
12/18/2020,1460,20,p,67.4,70.5,1515.22,10/9/2020
12/18/2020,1465,13,p,69.5,72.7,1515.22,10/9/2020
12/18/2020,1470,51,p,71.7,74.9,1515.22,10/9/2020
12/18/2020,1475,33,p,73.8,77,1515.22,10/9/2020
12/18/2020,1480,26,p,76,79.2,1515.22,10/9/2020
12/18/2020,1485,5,p,78.3,81.5,1515.22,10/9/2020
12/18/2020,1490,1790,p,80.5,83.2,1515.22,10/9/2020
12/18/2020,1495,41,p,83.7,86.1,1515.22,10/9/2020
12/18/2020,1500,3926,p,85.2,88.5,1515.22,10/9/2020
12/18/2020,1520,131,p,95,98.6,1515.22,10/9/2020
12/18/2020,1540,166,p,106.8,109.4,1515.22,10/9/2020
12/18/2020,1550,28,p,110.9,116,1515.22,10/9/2020
12/18/2020,1560,59,p,116.5,120.3,1515.22,10/9/2020
12/18/2020,1580,44,p,128.3,132.5,1515.22,10/9/2020
12/18/2020,1600,69,p,140.8,146.7,1515.22,10/9/2020
12/18/2020,1620,28,p,155.6,159.8,1515.22,10/9/2020
12/18/2020,1640,62,p,170.2,174.1,1515.22,10/9/2020
12/18/2020,1650,19,p,174.7,179.4,1515.22,10/9/2020
12/18/2020,1660,5,p,183.4,186.7,1515.22,10/9/2020
