"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,813.51,824.75,801.69,805.81,161.162,7255600,0,1
"2",2020-05-29,808.75,835,804.21,835,167,11812500,0,1
"3",2020-06-01,858,899,854.1,898.1,179.62,14939500,0,1
"4",2020-06-02,894.7,908.66,871,881.56,176.312,13565600,0,1
"5",2020-06-03,888.12,897.94,880.1,882.96,176.592,7949500,0,1
"6",2020-06-04,889.88,895.75,858.44,864.38,172.876,8887700,0,1
"7",2020-06-05,877.84,886.52,866.2,885.66,177.132,7811900,0,1
"8",2020-06-08,919,950,909.16,949.92,189.984,14174700,0,1
"9",2020-06-09,940.01,954.44,923.93,940.67,188.134,11388200,0,1
"10",2020-06-10,991.88,1027.48,982.5,1025.05,205.01,18563400,0,1
"11",2020-06-11,990.2,1018.96,972,972.84,194.568,15916500,0,1
"12",2020-06-12,980,987.98,912.6,935.28,187.056,16730200,0,1
"13",2020-06-15,917.79,998.84,908.5,990.9,198.18,15697200,0,1
"14",2020-06-16,1011.85,1012.88,962.39,982.13,196.426,14051100,0,1
"15",2020-06-17,987.71,1005,982.57,991.79,198.358,9869400,0,1
"16",2020-06-18,1003,1019.2,994.47,1003.96,200.792,9751900,0,1
"17",2020-06-19,1012.78,1015.97,991.34,1000.9,200.18,8679700,0,1
"18",2020-06-22,999.95,1008.88,990.02,994.32,198.864,6362400,0,1
"19",2020-06-23,998.88,1012,994.01,1001.78,200.356,6365300,0,1
"20",2020-06-24,994.11,1000.88,953.14,960.85,192.17,10959600,0,1
"21",2020-06-25,954.27,985.98,937.15,985.98,197.196,9254500,0,1
"22",2020-06-26,994.78,995,954.87,959.74,191.948,8854900,0,1
"23",2020-06-29,969.01,1010,948.5201,1009.35,201.87,9026404,0,1
"24",2020-06-30,1006.5,1087.69,1003.73,1079.81,215.962,16918500,0,1
"25",2020-07-01,1083,1135.33,1080.5,1119.63,223.926,13326900,0,1
"26",2020-07-02,1221.48,1228,1185.6,1208.66,241.732,17201300,0,1
"27",2020-07-06,1276.69,1377.79,1266.04,1371.58,274.316,20569900,0,1
"28",2020-07-07,1405.01,1429.5,1336.71,1389.86,277.972,21489700,0,1
"29",2020-07-08,1405,1417.26,1311.34,1365.88,273.176,16311300,0,1
"30",2020-07-09,1396.99,1408.56,1351.28,1394.28,278.856,11717600,0,1
"31",2020-07-10,1396,1548.92,1376.01,1544.65,308.93,23337600,0,1
"32",2020-07-13,1659,1794.99,1471.11,1497.06,299.412,38985400,0,1
"33",2020-07-14,1556,1590,1431,1516.8,303.36,23418100,0,1
"34",2020-07-15,1543,1550,1457,1546.01,309.202,16367800,0,1
"35",2020-07-16,1477.16,1531.71,1466,1500.64,300.128,14300800,0,1
