"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,193.54,198.29,192.71,194.26,193.9655,8352200,0,1
"2",2020-05-29,194.5,196.74,193.28,195.24,194.944,10213500,0,1
"3",2020-06-01,194.71,195.88,193.52,194.35,194.0554,6011300,0,1
"4",2020-06-02,195.94,197.52,194.92,196.36,196.0623,8462100,0,1
"5",2020-06-03,198,198.14,195.57,196.87,196.5715,8879400,0,1
"6",2020-06-04,195.98,196.46,193.12,193.64,193.3464,7829800,0,1
"7",2020-06-05,196.2,199.77,195.48,199.61,199.3074,8561200,0,1
"8",2020-06-08,199.58,199.96,197.13,199.6,199.2974,7628100,0,1
"9",2020-06-09,198.36,201.67,198.24,199.08,198.7782,6892300,0,1
"10",2020-06-10,199.9,202.18,198.95,200.48,200.1761,8405300,0,1
"11",2020-06-11,195.14,196.36,188.75,188.88,188.5936,11974600,0,1
"12",2020-06-12,194.21,195,187.85,192.26,191.9685,11702900,0,1
"13",2020-06-15,187,192.48,186.21,191.76,191.4693,6752700,0,1
"14",2020-06-16,196.86,198.38,191.8,192.88,192.5876,11057200,0,1
"15",2020-06-17,193.66,195.37,193.06,193.56,193.2665,5962700,0,1
"16",2020-06-18,192.6,194.25,192.11,193.91,193.616,5803200,0,1
"17",2020-06-19,196.89,197.1,191.37,192.2,191.9086,11483300,0,1
"18",2020-06-22,191.99,196.36,191.29,194.96,194.6644,6674500,0,1
"19",2020-06-23,196.25,200.15,195.82,197.97,197.6699,9866800,0,1
"20",2020-06-24,197.02,197.48,190.69,191.41,191.1198,9453100,0,1
"21",2020-06-25,191.1,194.24,189.9,193.98,193.6859,9936600,0,1
"22",2020-06-26,193.1,194.13,189.08,189.27,188.9831,11836000,0,1
"23",2020-06-29,189.91,191.45,187.3001,191.38,191.0899,8020373,0,1
"24",2020-06-30,191.49,193.75,190.16,193.17,192.8771,9040100,0,1
"25",2020-07-01,193.85,195.35,192.66,193.78,193.4862,6394100,0,1
"26",2020-07-02,196,197.92,195,195.67,195.3734,6296600,0,1
"27",2020-07-06,198.73,199.18,195.68,197.76,197.4602,7292200,0,1
"28",2020-07-07,196.81,198.9,193.81,194.2,193.9056,7660100,0,1
"29",2020-07-08,195.08,195.52,193.12,195.07,194.7743,8368000,0,1
"30",2020-07-09,195,195.49,189.95,192.21,191.9186,8548200,0,1
