"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,31.97,32.19,30.82,31.12,30.4937,5810197,0,1
"2",2020-05-29,30.46,31.04,29.97,30.06,29.455,8762714,0,1
"3",2020-06-01,30.11,30.97,29.76,30.55,29.9352,4297463,0,1
"4",2020-06-02,30.81,31.76,30.5,31.49,30.8563,6667563,0,1
"5",2020-06-03,32.53,33.47,32.26,33.25,32.5808,6238079,0,1
"6",2020-06-04,32.89,35.22,32.58,35.21,34.5014,8436608,0,1
"7",2020-06-05,38.69,38.97,36.18,36.36,35.6283,10444145,0,1
"8",2020-06-08,37.31,39.51,37.31,39.44,38.6463,10595669,0,1
"9",2020-06-09,38,38.35,36.83,37.74,36.9805,7040056,0,1
"10",2020-06-10,37.25,37.3,35.15,35.16,34.4524,8563912,0,1
"11",2020-06-11,32.5,33.87,31.3,31.61,30.9738,9220269,0,1
"12",2020-06-12,33.5,33.58,31.24,33.04,32.6886,7489738,0.32,1
"13",2020-06-15,31.3,33.57,31.12,33.19,32.837,6942340,0,1
"14",2020-06-16,35.49,35.5,32.74,33.29,32.936,7393208,0,1
"15",2020-06-17,33.06,33.33,32.14,32.28,31.9367,5963754,0,1
"16",2020-06-18,31.87,33,31.54,32.47,32.1247,4064586,0,1
"17",2020-06-19,33.36,33.36,31.67,31.81,31.4717,7775501,0,1
"18",2020-06-22,31.54,32.05,31.07,31.79,31.4519,3955126,0,1
"19",2020-06-23,32.48,32.73,31.92,32.05,31.7092,3322925,0,1
"20",2020-06-24,31.4,31.64,30.11,30.3,29.9778,5958306,0,1
"21",2020-06-25,30,31.34,29.81,31.26,30.9276,5780300,0,1
"22",2020-06-26,30.72,30.88,29.49,29.71,29.394,8004266,0,1
"23",2020-06-29,30.25,30.89,29.88,30.68,30.3537,5485145,0,1
"24",2020-06-30,30.45,31.4,30.29,31.18,30.8484,4660780,0,1
"25",2020-07-01,31.01,31.57,29.5,29.58,29.2654,6982128,0,1
"26",2020-07-02,30.55,31.21,29.84,29.92,29.6018,8791783,0,1
"27",2020-07-06,30.95,31.55,30.47,30.74,30.4131,6132403,0,1
"28",2020-07-07,30.32,30.44,29.11,29.17,28.8598,7411524,0,1
"29",2020-07-08,28.85,29.94,28.82,29.85,29.5326,7803734,0,1
"30",2020-07-09,29.71,29.78,27.98,28,27.7022,7348742,0,1
"31",2020-07-10,28.22,30.13,28.06,30.1,29.7799,7441874,0,1
"32",2020-07-13,30.3,30.67,29.6,29.72,29.4039,6127408,0,1
"33",2020-07-14,29.87,30.82,29.38,30.79,30.4626,5493706,0,1
"34",2020-07-15,31.72,32.02,31.09,31.77,31.4321,6812067,0,1
"35",2020-07-16,31.35,33.04,31.18,32.56,32.2137,6853864,0,1
"36",2020-07-17,32.71,32.86,31.77,32.12,31.7784,4333076,0,1
"37",2020-07-20,31.99,32.02,31.4,31.41,31.076,4364370,0,1
"38",2020-07-21,31.72,32.33,31.46,31.96,31.6201,4618440,0,1
"39",2020-07-22,31.58,32.3,31.42,32.19,31.8477,5729599,0,1
"40",2020-07-23,31.95,32.38,31.66,31.87,31.5311,4965011,0,1
"41",2020-07-24,31.89,32.05,31.2,31.31,30.977,3960874,0,1
"42",2020-07-27,31.1,31.15,30.4,30.85,30.5219,5143729,0,1
"43",2020-07-28,30.6,31.275,30.39,30.95,30.6209,5220661,0,1
"44",2020-07-29,30.88,32.93,30.88,32.67,32.3226,10100384,0,1
"45",2020-07-30,31.74,31.95,31.07,31.78,31.442,7075836,0,1
"46",2020-07-31,31.71,32.15,31.4,32.14,31.7982,6245205,0,1
"47",2020-08-03,32.21,32.69,32.03,32.14,31.7982,5834943,0,1
"48",2020-08-04,31.06,31.31,29.46,29.72,29.4039,17448390,0,1
"49",2020-08-05,30,30.56,29.81,30.18,29.859,7385397,0,1
"50",2020-08-06,30.4,30.9,29.28,29.32,29.0082,9162819,0,1
"51",2020-08-07,29.17,30.665,28.97,30.66,30.3339,6015195,0,1
"52",2020-08-10,31,31.67,30.98,31.46,31.1254,4596443,0,1
"53",2020-08-11,32.64,32.9,31.75,31.98,31.6399,6370771,0,1
"54",2020-08-12,32.52,32.65,30.59,30.94,30.611,6706205,0,1
"55",2020-08-13,30.51,30.93,30.12,30.71,30.3834,6252170,0,1
"56",2020-08-14,30.38,31.42,30.23,30.99,30.6604,4862862,0,1
"57",2020-08-17,30.89,30.9,29.85,29.96,29.6414,5587374,0,1
"58",2020-08-18,30.06,30.2,29.49,29.58,29.2654,7880805,0,1
"59",2020-08-19,29.5,30.05,29.31,29.86,29.5424,4870435,0,1
"60",2020-08-20,29.37,29.63,29.085,29.13,28.8202,4702191,0,1
"61",2020-08-21,29.11,29.27,28.23,28.27,27.9694,7366527,0,1
"62",2020-08-24,28.52,29.57,28.28,29.55,29.2357,5511071,0,1
"63",2020-08-25,29.99,30.2,29.26,29.52,29.2061,4134587,0,1
"64",2020-08-26,29.46,29.51,28.74,29.06,28.751,3738832,0,1
"65",2020-08-27,29.1,30.05,29.09,29.68,29.3644,4973676,0,1
"66",2020-08-28,30.12,30.12,29.23,29.37,29.0577,6036638,0,1
"67",2020-08-31,29.25,29.33,28.71,29.14,28.8301,7539768,0,1
"68",2020-09-01,28.87,29.36,28.67,29.15,28.84,4930493,0,1
"69",2020-09-02,29.27,29.86,28.73,29.83,29.5128,6534012,0,1
"70",2020-09-03,30,30.96,29.23,29.4,29.0873,7003866,0,1
"71",2020-09-04,30,30.22,29.25,29.8,29.4831,5783255,0,1
"72",2020-09-08,29.38,29.55,28.57,28.89,28.5828,7124724,0,1
"73",2020-09-09,29.16,29.25,28.43,29.15,28.84,7432367,0,1
"74",2020-09-10,29.27,29.58,28.03,28.16,27.8605,7754922,0,1
"75",2020-09-11,28.22,28.79,28.075,28.4,28.098,8491923,0,1
"76",2020-09-14,28.77,29.6,28.6,29.4,29.0873,6255218,0,1
"77",2020-09-15,29.36,29.81,28.92,28.93,28.6223,6438636,0,1
"78",2020-09-16,28.76,30.06,28.59,29.77,29.77,10803412,0.32,1
"79",2020-09-17,29.21,29.45,28.61,28.7,28.7,11420780,0,1
"80",2020-09-18,28.5,28.987,27.92,27.99,27.99,13427425,0,1
"81",2020-09-21,27.14,27.41,26.51,26.98,26.98,11872542,0,1
"82",2020-09-22,26.95,27.72,26.85,27.34,27.34,10055243,0,1
"83",2020-09-23,27.47,28.12,26.4,26.43,26.43,6986734,0,1
"84",2020-09-24,26.4,27.09,25.57,26.48,26.48,5686893,0,1
"85",2020-09-25,26.13,27.15,26.12,27.07,27.07,4886954,0,1
"86",2020-09-28,27.66,28.035,27.42,27.63,27.63,7610414,0,1
"87",2020-09-29,27.54,27.645,26.9601,27.29,27.29,4282412,0,1
"88",2020-09-30,27.42,27.94,27.25,27.53,27.53,5338698,0,1
"89",2020-10-01,27.56,28.01,27.305,27.72,27.72,5155535,0,1
"90",2020-10-02,27.19,28.48,27.07,28.22,28.22,4558290,0,1
"91",2020-10-05,28.77,29.42,28.58,29.05,29.05,5326077,0,1
"92",2020-10-06,29.4,29.98,28.925,28.98,28.98,8161497,0,1
"93",2020-10-07,29.28,29.68,28.955,29.56,29.56,4976689,0,1
"94",2020-10-08,29.81,30.48,29.35,30.26,30.26,5610883,0,1
"95",2020-10-09,30.43,30.57,29.75,29.95,29.95,8058396,0,1
"96",2020-10-12,29.87,30.63,29.76,30.46,30.46,7711575,0,1
"97",2020-10-13,30.17,30.28,29.49,29.82,29.82,7574044,0,1
"98",2020-10-14,29.79,30.36,29.53,29.65,29.65,6996235,0,1
"99",2020-10-15,29.16,29.98,29.12,29.96,29.96,3554599,0,1
"100",2020-10-16,30.01,30.66,29.71,30.29,30.29,4893989,0,1
