"","timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"1",2020-05-28,187.24,187.28,183.92,185.1,185.1,6313100,0,1
"2",2020-05-29,183.08,185.87,182.53,185.58,185.58,10630200,0,1
"3",2020-06-01,185.53,185.71,183.19,183.84,183.84,5718800,0,1
"4",2020-06-02,183.99,186.44,183.99,185.94,185.94,5803000,0,1
"5",2020-06-03,188.75,191.62,187.81,190.82,190.82,6706700,0,1
"6",2020-06-04,190.41,192.11,189.69,192.05,192.05,5809800,0,1
"7",2020-06-05,197.88,201.49,196.22,200.66,200.66,10390400,0,1
"8",2020-06-08,202.34,203.33,199.56,201.56,201.56,6695100,0,1
"9",2020-06-09,197.15,198.79,195.83,196.07,196.07,7711800,0,1
"10",2020-06-10,195.85,196.34,191.37,191.51,191.51,7337400,0,1
"11",2020-06-11,185,186.93,177.93,178.02,178.02,15372400,0,1
"12",2020-06-12,184.02,184.02,178.22,181.21,181.21,9476800,0,1
"13",2020-06-15,177,181.77,176.05,181.55,181.55,8105200,0,1
"14",2020-06-16,186.55,186.7,179.75,182.3,182.3,9407600,0,1
"15",2020-06-17,183.03,183.15,180.11,180.86,180.86,6448500,0,1
"16",2020-06-18,179.9,181.36,179.04,180.73,180.73,4920900,0,1
"17",2020-06-19,183.5,183.88,179.01,179.72,179.72,8767900,0,1
"18",2020-06-22,179.55,181.8,178.87,180.17,180.17,5816900,0,1
"19",2020-06-23,181.87,182.39,180.4,181.01,181.01,6378100,0,1
"20",2020-06-24,179.61,179.65,177.26,177.53,177.53,8081200,0,1
"21",2020-06-25,176.58,179.72,176.06,178.85,178.85,6380000,0,1
"22",2020-06-26,176.71,178.7,174.63,175.37,175.37,14772100,0,1
"23",2020-06-29,175.9,177.22,175.33,177.19,177.19,5222730,0,1
"24",2020-06-30,176.75,179.12,176.51,178.51,178.51,6763800,0,1
"25",2020-07-01,178.41,180.45,177.34,177.99,177.99,4619800,0,1
"26",2020-07-02,180.45,180.94,178.24,178.83,178.83,5163100,0,1
"27",2020-07-06,183.1,183.52,181.59,182.72,182.72,6443300,0,1
"28",2020-07-07,182.02,182.49,180.6,181.15,181.15,4952100,0,1
"29",2020-07-08,180.42,182.31,179.77,181.2,181.2,5547800,0,1
"30",2020-07-09,181.79,181.88,177.77,178.8,178.8,5420600,0,1
"31",2020-07-10,178.26,182.96,178.09,182.9,182.9,5482300,0,1
"32",2020-07-13,183.81,185.82,183.31,184.13,184.13,7885600,0,1
"33",2020-07-14,182.42,190.08,182.42,189.71,189.71,14683400,0,1
"34",2020-07-15,192.64,193.05,188.75,190.56,190.56,7558200,0,1
"35",2020-07-16,188.32,191.93,188.32,191.01,191.01,4771300,0,1
"36",2020-07-17,191.77,192.12,190.47,190.76,190.76,5186800,0,1
"37",2020-07-20,190.02,191.23,189.48,190.48,190.48,4089400,0,1
"38",2020-07-21,190.4,193.45,190.4,192.27,192.27,5256300,0,1
"39",2020-07-22,191.78,192.24,190.63,192.1,192.1,4184472,0,1
"40",2020-07-23,191.71,193.39,191.48,193.25,193.25,6039644,0,1
"41",2020-07-24,193.25,196.28,193.05,194.52,194.52,5143693,0,1
"42",2020-07-27,193.83,193.99,191.77,192.14,192.14,4312003,0,1
"43",2020-07-28,190.9,194.46,190.61,194.12,194.12,4412796,0,1
"44",2020-07-29,194.03,196.67,193.73,196.41,196.41,4069954,0,1
"45",2020-07-30,193.43,194.57,192.25,194.3,194.3,4834570,0,1
"46",2020-07-31,195.06,196,193.33,195.78,195.78,5943185,0,1
"47",2020-08-03,197.28,200.68,196,199.26,199.26,6253519,0,1
"48",2020-08-04,198.97,200.31,198.11,200.24,200.24,3839089,0,1
"49",2020-08-05,201.44,204.69,201,203.62,203.62,5269199,0,1
"50",2020-08-06,203,205.39,202.7,205.02,205.02,3387477,0,1
"51",2020-08-07,204.2,209.75,204,209.48,209.48,6191783,0,1
"52",2020-08-10,211.34,212.92,209.4,212.58,212.58,6635745,0,1
"53",2020-08-11,214.74,215.6,212.24,212.66,212.66,5689794,0,1
"54",2020-08-12,213.1,214.39,212.31,213.24,213.24,4792657,0,1
"55",2020-08-13,212.93,213.33,211.66,211.98,211.98,4537189,0,1
"56",2020-08-14,211.04,211.97,210.25,210.96,210.96,3444703,0,1
"57",2020-08-17,210.05,210.82,206.34,206.78,206.78,5474150,0,1
"58",2020-08-18,206.95,209.76,206.8,208.33,208.33,3501913,0,1
"59",2020-08-19,209.19,210.21,206.66,207.21,207.21,5831268,0,1
"60",2020-08-20,205.17,206.79,204.51,206.12,206.12,4134384,0,1
"61",2020-08-21,205.52,208.4,205.52,207.43,207.43,4786825,0,1
"62",2020-08-24,209.23,213.3,208.91,212.61,212.61,5040022,0,1
"63",2020-08-25,213.56,214,212.85,213.35,213.35,3676863,0,1
"64",2020-08-26,212.98,215.83,212.3,214.66,214.66,4640785,0,1
"65",2020-08-27,214.99,217.98,214.76,216.87,216.87,4814583,0,1
"66",2020-08-28,217.51,218.81,215.7297,218.55,218.55,4291213,0,1
"67",2020-08-31,218.62,219.45,217.65,218.04,218.04,6134606,0,1
"68",2020-09-01,216.92,218.59,216.62,218.55,218.55,4134939,0,1
"69",2020-09-02,218.13,222.09,218.13,221.68,221.68,5495005,0,1
"70",2020-09-03,222,223.2399,216.43,218.15,218.15,7095354,0,1
"71",2020-09-04,219.95,221.48,215.06,218.32,218.32,6042649,0,1
"72",2020-09-08,217.28,219.19,215.3393,217.8,217.8,7001501,0,1
"73",2020-09-09,218.95,221.62,218.52,219.63,219.63,5418297,0,1
"74",2020-09-10,220.54,220.68,217.15,217.8,217.8,3838665,0,1
"75",2020-09-11,218,219.265,216.92,217.93,217.93,3437465,0,1
"76",2020-09-14,219,221.32,218.3,219.94,219.94,4070857,0,1
"77",2020-09-15,220.08,221.57,218.45,218.94,218.94,3864321,0,1
"78",2020-09-16,220.28,222.26,219.19,219.59,219.59,5663404,0,1
"79",2020-09-17,218.46,218.68,216.5,218.05,218.05,6942515,0,1
"80",2020-09-18,219.08,221.01,217.83,218.21,218.21,11864010,0,1
"81",2020-09-21,214,215.45,208.73,213.02,213.02,8342537,0,1
"82",2020-09-22,212.54,214.75,211.7,214.16,214.16,5291711,0,1
"83",2020-09-23,213.94,214.88,209.38,209.61,209.61,4424597,0,1
"84",2020-09-24,209.14,210.23,206.58,208.72,208.72,3963496,0,1
"85",2020-09-25,207,211.11,206.82,210.45,210.45,3563345,0,1
"86",2020-09-28,213.22,215.47,212.0206,213.54,213.54,5043931,0,1
"87",2020-09-29,213.59,213.59,210.24,210.44,210.44,4037925,0,1
"88",2020-09-30,211.11,213.7,210.7522,212.94,212.94,5822458,0,1
"89",2020-10-01,214.3,214.385,210.62,212.02,212.02,4758944,0,1
"90",2020-10-02,209.84,213.68,209.53,211.18,211.18,4421401,0,1
"91",2020-10-05,213.09,213.9,212.05,212.36,212.36,3649194,0,1
"92",2020-10-06,212.65,213.48,209.65,210.26,210.26,5315644,0,1
"93",2020-10-07,212.33,214.67,211.36,213.29,213.29,3759814,0,1
"94",2020-10-08,214.39,215.69,213.44,215.15,215.15,3612138,0,1
"95",2020-10-09,215.88,216.2924,214.16,215.68,215.68,3091717,0,1
"96",2020-10-12,216.74,217.43,215.12,216.41,216.41,3903098,0,1
"97",2020-10-13,215.76,216.38,212,212.31,212.31,4850195,0,1
"98",2020-10-14,212.02,212.35,210.54,210.91,210.91,5026903,0,1
"99",2020-10-15,209.27,211.99,208.22,211.65,211.65,3063809,0,1
"100",2020-10-16,211.84,213.8253,211.81,211.91,211.91,3630992,0,1
