Exp. Date,Last,Change,Bid,Ask,Volume,Open Int.,Strike,Last,Change,Bid,Ask,Volume,Open Int.
Dec-18,259.83,--,186.3,191.3,--,4,1355,46.4,--,37.2,38.9,--,23
Dec-18,216.11,--,182.4,187.5,--,99,1360,52.2,--,38.5,40.3,--,124
Dec-18,155.9,--,179.1,183.8,--,--,1365,54.65,--,40.2,42.2,--,5
Dec-18,208.85,--,175.3,180.1,--,15,1370,65.8,--,41.3,43.1,--,49
Dec-18,163,--,172.3,176.3,--,53,1375,55,--,42.7,44.6,--,56
Dec-18,143.25,--,168.4,173.3,--,16,1380,54.47,--,44.5,46.2,--,55
Dec-18,202.8,--,164.9,169.9,--,10,1385,67.2,--,46.3,47.7,--,11
Dec-18,215.5,--,161.3,166.3,--,3,1390,62.4,--,47.6,49.4,--,38
Dec-18,123.72,--,158.2,162.9,--,3,1395,50,-21.70 ,48.6,51.7,3,55
Dec-18,156,5.90 ,155,159.5,2,143,1400,53.5,-6.70 ,51.1,52.7,3,300
Dec-18,118.25,--,151.8,155,--,6,1405,64.2,--,53,54.2,--,39
Dec-18,122,--,148.5,153,--,18,1410,73.7,--,54.3,56.3,--,27
Dec-18,115.5,--,145.5,149.6,--,4,1415,85.57,--,56.4,58.1,--,14
Dec-18,129,--,143.7,146.5,--,22,1420,70.6,--,58.4,60,--,41
Dec-18,130.1,--,139.2,143.4,--,54,1425,83.5,--,60,61.9,--,23
Dec-18,101.6,--,136.2,140.3,--,22,1430,78.9,--,61.7,63.8,--,19
Dec-18,114.3,--,133.4,136.9,--,6,1435,88,--,63.9,65.8,--,10
Dec-18,99.5,--,130.4,134,--,59,1440,79.96,--,66,67.8,--,22
Dec-18,104.21,--,127.2,131.2,--,25,1445,82,--,68,70,--,22
Dec-18,116.4,--,124.4,128.2,--,49,1450,83.6,--,69.8,72,--,147
Dec-18,98,--,121.5,125.4,--,12,1455,62.6,--,72.2,74,--,12
Dec-18,112.69,--,118.7,122.5,--,37,1460,89.9,--,74,76.3,--,20
Dec-18,107.5,--,116,119.7,--,15,1465,92.5,--,76.4,78.5,--,13
Dec-18,113,5.00 ,113.3,116.9,4,46,1470,80,-16.30 ,78.7,80.7,1,51
Dec-18,112,8.65 ,110.6,114.1,1,16,1475,96.56,--,81.1,83,--,33
Dec-18,82.9,--,107.8,111.5,--,47,1480,98.95,--,83.1,85.4,--,26
Dec-18,105.21,6.08 ,105.6,108.9,3,14,1485,101,--,85.7,87.8,--,5
Dec-18,102.5,3.30 ,102.9,105.3,3,1808,1490,92.4,-8.60 ,86.8,89.6,4,1790
Dec-18,103.2,8.40 ,101.4,103.5,1,25,1495,104.8,--,90.8,92.6,--,41
Dec-18,101.1,8.55 ,97.8,101,18,3804,1500,94.76,-14.36 ,92.9,95,3,3926
Dec-18,84,--,88.3,91.3,--,1010,1520,122.5,--,103,105.7,--,131
Dec-18,75.3,--,80.1,81.9,--,475,1540,130.7,--,114.4,116.6,--,166
Dec-18,77.3,5.79 ,75.2,77.8,6,163,1550,137.1,--,119.6,122.7,--,28
Dec-18,73.7,18.60 ,71.2,72.8,5,837,1560,158.42,--,125.2,127.3,--,59
Dec-18,63.5,4.68 ,63.6,65.1,1,112,1580,168.85,--,137.9,139.6,--,44
Dec-18,58,5.08 ,56.3,58.5,2,317,1600,151.5,-15.90 ,150.3,154.1,6,69
Dec-18,50.15,1.95 ,49.9,52.1,3,387,1620,230,--,164.3,167.7,--,28
Dec-18,44.3,8.25 ,44.5,46,2,5086,1640,195.6,--,178.5,181.7,--,62
Dec-18,39.63,--,41.3,42.8,--,601,1650,221.1,--,184.8,187.6,--,19
